"TAGGS Recipient Search Export
Data Fiscal Year = 2020; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
WV ST DEPT HLTH & HUMAN RESOURCE,148040327,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$335,586,307 "
WV ST DEPT HLTH & HUMAN RESOURCE,824700611,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$1,632,654 "
WV ST DEPT HLTH & HUMAN RESOURCE,928403682,CHARLESTON,WV,253050001,KANAWHA,United States of America,Health Department,State Government,"$62,980,475 "
"Health And Human Resources, West Virginia Department Of",140779708,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,"$176,257,299 "
"Health And Human Resources, West Virginia Department Of",618137715,CHARLESTON,WV,253011745,KANAWHA,United States of America,Health Department,State Government,$0 
"WV ST DEPARTMENT OF HEALTH, ALCOHOL & DRUG ABUSE PROG",140779708,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"($157,875)"
Jackson County Health Department,861071926,RIPLEY,WV,25271,JACKSON,United States of America,Health Department,County Government,"($24,124)"
FAYETTE COUNTY - HEALTH DEPARTMENT,4615285,FAYETTEVILLE,WV,258408504,FAYETTE,United States of America,Health Department,State Government,"$274,330 "
WEST VIRGINIA DEPARTMENT OF HEALTH,140779708,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,"$12,716,450 "
WEST VIRGINIA DEPARTMENT OF HEALTH,618137715,CHARLESTON,WV,25305,KANAWHA,United States of America,Health Department,State Government,$0 
"GREENE COUNTY HEALTH CARE, INC",82369166,SNOWHILL,NC,28580,GREENE,United States of America,Other Health Organization,County Government,"$11,826,066 "
"NC ST DEPT OF HEALTH AND HUMAN SRV, DIV OF  MH,DD,SAS",809785363,RALEIGH,NC,276993001,WAKE,United States of America,Other Health Organization,State Government,"($6,117,149)"
BLADEN COUNTY HEALTH DEPARTMENT,84171628,ELIZABETHTOWN,NC,28317,BLADEN,United States of America,Health Department,County Government,"$199,643 "
CLEVELAND COUNTY HEALTH DEPARTMENT,879924850,SHELBY,NC,28150,CLEVELAND,United States of America,Health Department,County Government,"($18,302)"
DAVIDSON COUNTY HEALTH DEPARTMENT,77839744,LEXINGTON,NC,27292,DAVIDSON,United States of America,Health Department,County Government,"$70,000 "
"DURHAM, COUNTY OF",4874228,DURHAM,NC,277013649,DURHAM,United States of America,Health Department,County Government,$0 
GASTON COUNTY DEPARTMENT OF HEALTH,71062186,GASTONIA,NC,28052,GASTON,United States of America,Health Department,County Government,"$140,000 "
MADISON COUNTY HEALTH DEPARTMENT,831052873,MARSHALL,NC,28753,MADISON,United States of America,Health Department,County Government,"($32,333)"
County of Transylvania,30494215,BREVARD,NC,28712,TRANSYLVANIA,United States of America,Health Department,County Government,"$202,294 "
WAKE COUNTY DEPARTMENT OF HEALTH,170300755,RALEIGH,NC,276204049,WAKE,United States of America,Hospital,County Government,"$648,494 "
MCDOWELL-POLK RUTHERFORD,782359004,RUTH,NC,28139,RUTHERFORD,United States of America,Health Department,City Government,"$69,000 "
Stanly County,131060829,ALBEMARLE,NC,280012847,STANLY,United States of America,Health Department,County Government,$0 
"LEXINGTON/RICHLAND ALCOHOL & DRUG ABUSE COUNCIL, INC",944157007,COLUMBIA,SC,29203,RICHLAND,United States of America,Other Health Organization,City Government,"$560,211 "
Greenville County Commission on Alcohol and Drug Abuse,966622263,GREENVILLE,SC,296072410,GREENVILLE,United States of America,Other Health Organization,County Government,"$290,894 "
Chester County Commission on Alcohol and Drug Abuse,964833177,Chester,SC,297061524,CHESTER,United States of America,Other Health Organization,County Government,"$355,453 "
DHHS IHS PHOENIX AREA,79950017,PARKER,AZ,85344,LA PAZ,United States of America,Health Department,State Government,"$203,991 "
SC ST DEPT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29211,RICHLAND,United States of America,Health Department,State Government,"$224,783,011 "
South Carolina Department Health & Human Services,607243706,COLUMBIA,SC,29202,RICHLAND,United States of America,Other Health Organization,State Government,"$338,717 "
South Carolina Department Health & Human Services,808385892,COLUMBIA,SC,29202,RICHLAND,United States of America,Other Health Organization,State Government,"$2,785,979 "
SC ST DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29201,RICHLAND,United States of America,Health Department,State Government,"$25,656,598 "
SC ST DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29201,RICHLAND,United States of America,Health Department,State Government,"$6,778,156 "
SC ST DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29201,RICHLAND,United States of America,Health Department,State Government,"$500,000 "
"Lancaster, County of",86866944,LANCASTER,SC,297211809,LANCASTER,United States of America,Other Health Organization,County Government,"$199,571 "
SC ST DEPARTMENT OF MENTAL HEALTH,43980093,COLUMBIA,SC,29202,RICHLAND,United States of America,Health Department,State Government,"$26,277,329 "
COLUMBUS DEPARTMENT OF PUBLIC HEALTH,136663072,COLUMBUS,GA,31902,MUSCOGEE,United States of America,Health Department,City Government,"$456,921 "
LAURENS COUNTY BOARD OF HEALTH,143060593,DUBLIN,GA,31021,LAURENS,United States of America,Health Department,County Government,"$2,562,202 "
Columbus Consolidated Government,37221327,COLUMBUS,GA,319021340,MUSCOGEE,United States of America,Health Department,County Government,"$852,907 "
CLAYTON COUNTY HEALTH DEPARTMENT,962435579,JONESBORO,GA,30236,CLAYTON,United States of America,Health Department,County Government,"$1,256,543 "
HOUSTON COUNTY HEALTH DEPARTMENT,123374162,MACON,GA,31201,BIBB,United States of America,Health Department,County Government,"$1,620,390 "
LOWNDES COUNTY BOARD OF HEALTH,101007164,VALDOSTA,GA,316035147,LOWNDES,United States of America,Health Department,County Government,"$537,668 "
"THE FAMILY HEALTH CENTERS OF GEORGIA, INC",10105807,ATLANTA,GA,303102750,FULTON,United States of America,Hospital,County Government,"$15,150,421 "
GA ST DEPT OF COMMUNITY HEALTH,90320420,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"$85,000 "
GA ST DEPT OF COMMUNITY HEALTH,103886896,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"$11,900,275 "
GA ST DEPT OF COMMUNITY HEALTH,142661680,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"($4,203,455)"
GA ST DEPT OF MEDICAL ASSISTANCE,142661680,ATLANTA,GA,303033159,FULTON,United States of America,Health Department,State Government,"$9,103,548,909 "
"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",93125649,NEWTON GROVE,NC,28366,SAMPSON,United States of America,Hospital,County Government,"$15,346,154 "
DEKALB COUNTY BOARD OF HEALTH,42630975,DECATUR,GA,30030,DE KALB,United States of America,Health Department,County Government,"$1,501,737 "
CLARKE COUNTY BOARD OF HEALTH,102233116,ATHENS,GA,30605,CLARKE,United States of America,Other Health Organization,County Government,"$631,405 "
Advantage Behavioral Health Systems,930142125,ATHENS,GA,306010000,CLARKE,United States of America,Health Department,State Government,"$399,902 "
FLOYD COUNTY BOARD OF HEALTH,617083241,ROME,GA,30161,FLOYD,United States of America,Health Department,County Government,"$364,047 "
HALL COUNTY BOARD OF HEALTH,805622177,GAINESVILLE,GA,30501,HALL,United States of America,Health Department,County Government,"$383,369 "
WARE COUNTY BOARD OF HEALTH,39487210,WAYCROSS,GA,315013525,WARE,United States of America,Health Department,County Government,"$1,371,230 "
COBB COUNTY BOARD OF HEALTH,612931212,MARIETTA,GA,30060,COBB,United States of America,Health Department,County Government,"$1,483,094 "
Grady Memorial Hospital Corp D/B/A Grady Health System,961615700,ATLANTA,GA,30335,FULTON,United States of America,Hospital,County Government,"$775,690 "
TIFT REGIONAL MEDICAL CENTER,968649579,TIFTON,GA,31794,TIFT,United States of America,Hospital,City Government,"$526,068 "
FULTON COUNTY HEALTH DEPARTMENT,133894167,ATLANTA,GA,30303,FULTON,United States of America,Health Department,County Government,"$31,720,954 "
WAYNE COUNTY HEALTH DEPARTMENT,617082441,JESUP,GA,31545,WAYNE,United States of America,Health Department,County Government,"$1,000,000 "
CHATHAM COUNTY DEPARTMENT OF HEALTH,826501947,SAVANNAH,GA,314161257,CHATHAM,United States of America,Health Department,County Government,"$1,679,933 "
"LAKEVIEW CENTER, INC",98929524,PENSACOLA,FL,325011857,ESCAMBIA,United States of America,Hospital,County Government,"$1,149,017 "
"COMMUNITY HEALTH OF SOUTH FLORIDA, INC",72250160,MIAMI,FL,33170,,United States of America,Other Health Organization,County Government,"$23,792,933 "
Publlic Health Trust of Miami-Dade Co. FL,118298673,MIAMI,FL,33136,,United States of America,Other Health Organization,County Government,"($92,621)"
FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA,84188598,FORT MYERS,FL,339021357,LEE,United States of America,Other Health Organization,County Government,"$13,778,515 "
"SUNCOAST COMMUNITY HEALTH CENTERS, INC",91654814,RUSKIN,FL,33570,HILLSBOROUGH,United States of America,Hospital,County Government,"$10,246,294 "
"FL DISABILITIES DEVELOPMENTAL COUNCIL, INC.",36530194,TALLAHASSEE,FL,323012981,LEON,United States of America,Health Department,State Government,"$4,213,243 "
FL ST DEPT OF HLTH,364215061,TALLAHASSEE,FL,323991729,LEON,United States of America,Health Department,State Government,"$685,488,771 "
OKALOOSA COUNTY HEALTH DEPT.,364215061,FT WALTON,FL,325485066,OKALOOSA,United States of America,Health Department,County Government,"$365,417 "
"Health, Florida Department of",364215061,TALLAHASSEE,FL,323991701,DUVAL,United States of America,Health Department,County Government,"$4,595,939 "
BROWARD COUNTY HEALTH DEPARTMENT,364215061,FORT LAUDERDALE,FL,33315,BROWARD,United States of America,Health Department,County Government,"$3,111,844 "
HENDRY COUNTY HEALTH DEPARTMENT,364215061,LABELLE,FL,33975,HENDRY,United States of America,Health Department,State Government,"$384,959 "
Baker County Health Department,364215061,MACCLENNY,FL,32063,BAKER,United States of America,Health Department,County Government,"$1,122,605 "
UNION COUNTY HEALTH DEPARTMENT,364215061,LAKE BUTLER,FL,320541731,UNION,United States of America,Health Department,State Government,"$2,067,833 "
WALTON COUNTY HEALTH DEPARTMENT,364215061,DEFUNIAK SPRINGS,FL,32433,WALTON,United States of America,Health Department,State Government,"$2,380,668 "
COMMUNITY HEALTH & HUMAN SCVS DEPARTMENT,69672137,TAMPA,FL,33602,HILLSBOROUGH,United States of America,Health Department,County Government,"$12,167,419 "
ORANGE COUNTY HEALTH DEPARTMENT,364215061,ORLANDO,FL,32804,ORANGE,United States of America,Health Department,County Government,"$1,802,637 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,360706212,TALLAHASSEE,FL,323996570,LEON,United States of America,Health Department,State Government,"$347,990,282 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,604604350,TALLAHASSEE,FL,323996570,LEON,United States of America,Health Department,State Government,"$781,979,001 "
FL ST DEPARTMENT OF HEALTH & REHABILITATIVE SERVICES,364215061,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$4,911,618 "
POLK COUNTY PUBLIC HEALTH UNIT,364215061,BARTOW,FL,33830,POLK,United States of America,Other Health Organization,County Government,"$665,138 "
FL ST FOR HEALTH CARE ADMINISTRATION,135837198,TALLAHASSEE,FL,32308,LEON,United States of America,Other Health Organization,State Government,"$18,764,524,909 "
FL ST FOR HEALTH CARE ADMINISTRATION,364215061,TALLAHASSEE,FL,32308,LEON,United States of America,Other Health Organization,State Government,"$15,225,902 "
FL ST DEPT OF HLTH,364215061,TALLAHASSEE,FL,323991729,LEON,United States of America,Health Department,State Government,"$162,945,742 "
"FL ST DEPT OF HLTH & REHAB SVCS, AGING & ADULT SERVICES",604604350,TALLAHSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$7,943,159 "
UNIVERSITY OF FLORIDA,73133571,GAINESVILLE,FL,326113001,ALACHUA,United States of America,Hospital,State Government,$0 
UNIVERSITY OF FLORIDA,92530369,GAINESVILLE,FL,326113001,ALACHUA,United States of America,Hospital,State Government,"$152,462 "
UNIVERSITY OF FLORIDA,969663814,GAINESVILLE,FL,326113001,ALACHUA,United States of America,Hospital,State Government,"$195,116,759 "
BROWARD GENERAL MEDICAL CENTER,72252703,FORT LAUDERDALE,FL,33316,BROWARD,United States of America,Hospital,City Government,"$499,935 "
SOUTH BROWARD HOSPITAL DISTRICT,148577166,HOLLYWOOD,FL,330215421,BROWARD,United States of America,Hospital,State Government,"($150,000)"
KY ST DEPARTMENT OF HEALTH,927049767,FRANKFORT,KY,40601,FRANKLIN,United States of America,Health Department,State Government,"$1,372,416 "
KY ST CABINET FOR HEALTH AND FAMILY SERVICES,927049767,FRANKFORT,KY,40621,FRANKLIN,United States of America,Health Department,State Government,"$9,939,329,862 "
KY ST DEPT OF INS,40579752,FRANKFORT,KY,40601,FRANKLIN,United States of America,Other Health Organization,State Government,"($279,183)"
"KY Dept. for Behavioral Health, Dev. & Intell. Disabi",927049767,FRANKFORT,KY,40601,FRANKLIN,United States of America,Health Department,State Government,"$35,971,506 "
"REGION 20 MENTAL HEALTH & MENTAL RETARDATION BOARD, INC",68135607,PRESTONSBURG,KY,41653,FLOYD,United States of America,Health Department,State Government,"$1,164,999 "
Oldham County Health Department,613454011,La Grange,KY,40031,OLDHAM,United States of America,Health Department,County Government,"$125,000 "
MADISON COUNTY HEALTH DEPARTMENT,137703609,RICHMOND,KY,404761208,MADISON,United States of America,Health Department,County Government,"$124,624 "
PURCHASE DISTRICT HEALTH DEPARTMENT (INC),784080116,PADUCAH,KY,420031955,MCCRACKEN,United States of America,Health Department,State Government,"$1,500,000 "
State of Connecticut Consumer Protection,949575682,HARTFORD,CT,6106,HARTFORD,United States of America,Other Health Organization,State Government,"$355,391 "
KENTON COUNTY DETENTION CENTER,808440577,COVINGTON,KY,410171168,KENTON,United States of America,Health Department,County Government,"$524,670 "
Oldham County Fiscal Court,613454011,LA GRANGE,KY,40031,OLDHAM,United States of America,Health Department,County Government,$0 
NASHVILLE METROPOLITAN HEALTH DEPARTMENT,78217668,NASHVILLE,TN,37203,DAVIDSON,United States of America,Health Department,City Government,"$6,422,350 "
"MORGAN COUNTY HEALTH COUNCIL, INC",188838395,WARTBURG,TN,378870408,MORGAN,United States of America,Other Health Organization,County Government,"$2,511,061 "
"PERRY COUNTY MEDICAL CENTER, INC",122481179,LINDEN,TN,370960916,PERRY,United States of America,Hospital,County Government,"$3,061,120 "
Professional Care Services of West TN,73522161,COVINGTON,TN,38019,TIPTON,United States of America,Other Health Organization,County Government,"$187,001 "
City of Knoxville,42453530,KNOXVILLE,TN,379022494,KNOX,United States of America,Other Health Organization,City Government,"$123,447 "
CHATTANOOGA-HAMILTON COUNTY HEALTH DEPARTMENT,29870271,CHATTANOOGA,TN,37403,HAMILTON,United States of America,Health Department,County Government,"$2,766,869 "
"COUNTY OF ROANE, INC. - RECOVERY COURT EXPANSION",876225632,KINGSTON,TN,37763,ROANE,United States of America,Health Department,County Government,"$400,000 "
"RUTHERFORD, COUNTY OF - PROBATION & RECOVERY SERVICE",64367980,MURFREESBORO,TN,37130,RUTHERFORD,United States of America,Health Department,County Government,$0 
MEMPHIS & SHELBY COUNTY DEPARTMENT OF HEALTH,41174889,MEMPHIS,TN,381055041,SHELBY,United States of America,Health Department,County Government,"$850,000 "
Williamson County General Sessions DUI Court,31968063,FRANKLIN,TN,37064,WILLIAMSON,United States of America,Other Health Organization,State Government,"$400,000 "
TN ST DEPARTMENT OF HEALTH,172636268,NASHVILLE,TN,372470310,DAVIDSON,United States of America,Health Department,State Government,"$340,039,782 "
TN ST DEPT OF MNTL HLTH and Substance Abuse Services,878890425,NASHVILLE,TN,372438121,DAVIDSON,United States of America,Health Department,State Government,"$83,570,356 "
TN ST DEPARTMENT OF MENTAL HEALTH,878890425,NASHVILLE,TN,37219,DAVIDSON,United States of America,Health Department,State Government,"$13,292,278 "
TN Commission on Aging and Disability,98973790,NASHVILLE,TN,37243,DAVIDSON,United States of America,Other Health Organization,State Government,"$54,045,977 "
CHILDREN'S HOSPITAL OF ALABAMA,72106867,BIRMINGHAM,AL,352331711,JEFFERSON,United States of America,Hospital,City Government,"$6,322,093 "
AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,929956324,MONTGOMERY,AL,361301410,MONTGOMERY,United States of America,Health Department,State Government,"$25,472,605 "
"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC.",23092505,BAYOU LA BATRE,AL,365090769,MOBILE,United States of America,Other Health Organization,City Government,"$4,573,137 "
NORTHEAST ALABAMA HEALTH SERVICES INC,12874991,SCOTTSBORO,AL,35768,JACKSON,United States of America,Health Department,County Government,"$3,668,516 "
AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,929956324,MONTGOMERY,AL,36193,MONTGOMERY,United States of America,Health Department,State Government,"$34,885,178 "
AL ST DEPARTMENT OF PUBLIC HEALTH,613842061,MONTGOMERY,AL,361303017,MONTGOMERY,United States of America,Health Department,State Government,"$176,907,532 "
AL ST DEPARTMENT OF PUBLIC HEALTH,1904635,MONTGOMERY,AL,36104,MONTGOMERY,United States of America,Health Department,State Government,"$159,601,680 "
AL ST DEPARTMENT OF PUBLIC HEALTH,613842061,MONTGOMERY,AL,36104,MONTGOMERY,United States of America,Health Department,State Government,"$63,335,933 "
ALABAMA MEDICAID AGENCY,1904635,MONTGOMERY,AL,361035624,MONTGOMERY,United States of America,Other Health Organization,State Government,"$5,319,104,715 "
"Senior Services, Alabama Dept of",1746440,MONTGOMERY,AL,361301851,MONTGOMERY,United States of America,Health Department,State Government,"$338,717 "
MOBILE COUNTY HEALTH DEPARTMENT,877377440,MOBILE,AL,366522867,MOBILE,United States of America,Health Department,County Government,"$12,983,755 "
UNIVERSITY OF ALABAMA HOSPITALS,63690705,BIRMINGHAM,AL,35233,JEFFERSON,United States of America,Hospital,State Government,"$8,820,869 "
UNIVERSITY OF ALABAMA HOSPITALS,63690705,BIRMINGHAM,AL,35233,JEFFERSON,United States of America,Hospital,State Government,"$159,870 "
"MS ST OFFICE OF THE GOVERNOR, DIVISION OF MEDICAID",36720175,JACKSON,MS,392011311,HINDS,United States of America,Other Health Organization,State Government,"$5,021,267,871 "
PINE BELT MENTAL HEALTH & RETARDATION SERVICES,44748812,HATTIESBURG,MS,394048679,FORREST,United States of America,Health Department,State Government,"$540,930 "
"MS ST DEPT OF MENTAL HEALTH, DIVISION OF ADMINISTRATION",809399926,JACKSON,MS,39201,HINDS,United States of America,Health Department,State Government,"$7,995,458 "
MS ST DEPARTMENT OF MENTAL HEALTH,809399926,JACKSON,MS,39201,HINDS,United States of America,Health Department,State Government,"$29,144,363 "
15th Judicial District Drug Court,25609518,PURVIS,MS,39475,LAMAR,United States of America,Health Department,County Government,$0 
MS DEPT REHAB. OFFICE OF SPEC. SERV FOR INDV. WITH DISB,809850100,JACKSON,MS,392151698,HINDS,United States of America,Health Department,State Government,"$767,259 "
MS ST DEPARTMENT OF HEALTH,809399892,JACKSON,MS,392151700,HINDS,United States of America,Health Department,State Government,"$188,029,708 "
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,67713560,JACKSON,MS,392164500,HINDS,United States of America,Hospital,State Government,$0 
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,845420090,JACKSON,MS,392164500,HINDS,United States of America,Hospital,State Government,$0 
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,928824473,JACKSON,MS,392164500,HINDS,United States of America,Hospital,State Government,"$38,007,358 "
Pridelines Youth Services dba Pridelines,50379259,MIAMI,FL,331386108,,United States of America,Health Department,State Government,"$225,000 "
"Salud Integral en la Montana, Inc.",136099236,NARANJITO,PR,7190515,NARANJITO,USA Related Territories,Health Department,State Government,"$10,630,198 "
Department Of Education Of Puerto Rico,90142522,SAN JUAN,PR,9190759,SAN  JUAN,USA Related Territories,Health Department,State Government,"$21,814 "
Department Of Education Of Puerto Rico,105817142,SAN JUAN,PR,9190759,SAN  JUAN,USA Related Territories,Health Department,State Government,$0 
PUERTO RICO PLANNING BOARD,91087734,SAN JUAN,PR,940,SAN  JUAN,USA Related Territories,Health Department,State Government,"$752,079 "
MUNICIPALITY OF BAYAMON,140030706,RIO PIEDRAS,PR,927,SAN  JUAN,USA Related Territories,Health Department,City Government,"$772,399 "
PONCE DEPARTMENT OF HEALTH,91127365,PONCE,PR,731,PONCE,USA Related Territories,Health Department,County Government,"($2,749,548)"
Departamento De Salud Oficial,105817142,SAN JUAN,PR,9368184,SAN  JUAN,USA Related Territories,Other Health Organization,State Government,"$106,647,956 "
Mental Health & Anti-Addiction Serv Adminstration,612702134,BAYAMON,PR,9607087,BAYAMON,USA Related Territories,Health Department,State Government,"$21,654,058 "
Virgin Islands Domestic Violence And Sexual Assault Cou,160345240,KINGSHILL,VI,850,FREDERIKSTED,USA Related Territories,Other Health Organization,State Government,"$363,393 "
Northern Marianas Coalition Against Sexual and Domestic,854856606,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Other Health Organization,State Government,"$363,393 "
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",132316811,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,$0 
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",145950189,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$75,370 "
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",167269765,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$187,228,792 "
CA ST OFFICE OF STATEWIDE HEALTH PLANNING & DEVELOP,106882207,SACRAMENTO,CA,958146437,SACRAMENTO,United States of America,Health Department,State Government,"$1,563,244 "
South Heartland District Health Department,147310242,HASTINGS,NE,689015256,ADAMS,United States of America,Health Department,State Government,$0 
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,604604350,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$102,484,563 "
AR ST HEALTH SERVICES AGENCY,809873185,LITTLE ROCK,AR,722053867,PULASKI,United States of America,Other Health Organization,State Government,$0 
LEE COUNTY COOPERATIVE CLINIC,78575107,MARIANNA,AR,72360,LEE,United States of America,Other Health Organization,County Government,"$3,614,004 "
ARKANSAS DEPARTMENT OF HEALTH,809873185,LITTLE ROCK,AR,722053866,PULASKI,United States of America,Health Department,State Government,"$45,153,397 "
ARKANSAS DEPARTMENT OF HEALTH,809873185,LITTLE ROCK,AR,722053867,PULASKI,United States of America,Health Department,State Government,"$121,234,955 "
UNIVERSITY OF ARKANSAS SYSTEM,122452563,LITTLE ROCK,AR,722057199,PULASKI,United States of America,Other Health Organization,State Government,"$83,178,578 "
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,95439774,SHREVEPORT,LA,711303932,CADDO,United States of America,Hospital,State Government,"$11,684,645 "
CATAHOULA PARISH HOSPITAL DISTRICT #2,3197147,SICILY ISLAND,LA,713680033,CATAHOULA,United States of America,Other Health Organization,County Government,"$3,841,580 "
TERREBONNE PARISH CONSOLIDATED GOV`T. - DIST. ATTY. OFF,76444814,HOUMA,LA,703603422,TERREBONNE,United States of America,Health Department,County Government,$0 
Capital Area Human Services District,158250709,BATON ROUGE,LA,70806,EAST BATON ROUGE,United States of America,Other Health Organization,County Government,"$285,072 "
"LA ST DEPT OF HEALTH & HOSPITALS, ADMINISTRATION SVCS",14740455,NEW ORLEANS,LA,70160,ORLEANS,United States of America,Health Department,State Government,"$4,130,953 "
"LA ST DEPARTMENT OF HEALTH, DIV OF MATERNAL & CHLD HLTH",14740455,NEW ORLEANS,LA,70160,ORLEANS,United States of America,Health Department,State Government,"$7,699,428 "
"LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",14740455,NEW ORLEANS,LA,701611979,ORLEANS,United States of America,Health Department,State Government,"$291,606,054 "
NEW ORLEANS CITY HEALTH DEPARTMENT,98595978,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$3,449,055 "
NEW ORLEANS CITY HEALTH DEPARTMENT,118981596,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$40,000 "
NEW ORLEANS CITY HEALTH DEPARTMENT,616466640,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$215,869 "
NEW ORLEANS MAYORS OFFICE ON HEATH POLICY & AIDS FUNDS,166691076,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$10,564,056 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",14740455,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$7,704,403 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",626611685,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$9,528,595,277 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",809927064,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$51,223,219 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",968105937,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$23,522,461 "
"HEALTH, LOUISIANA DEPARTMENT OF",809927064,BATON ROUGE,LA,70821,EAST BATON ROUGE,United States of America,Health Department,State Government,"$752,254 "
"HEALTH, LOUISIANA DEPARTMENT OF",968105937,BATON ROUGE,LA,70821,EAST BATON ROUGE,United States of America,Health Department,State Government,"$9,222,778 "
OKLAHOMA CITY-COUNTY HEALTH DEPARTMENT,148092356,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Health Department,County Government,"$1,455,000 "
TULSA CITY & COUNTY HEALTH DEPARTMENT,48419753,TULSA,OK,741347004,TULSA,United States of America,Health Department,County Government,"$979,999 "
"Mental Health And Substance Abuse Services, Oklahoma De",933662934,OKLAHOMA CITY,OK,731523277,OKLAHOMA,United States of America,Health Department,State Government,"$66,738,242 "
OK ST DEPARTMENT OF HEALTH,143673015,OKLAHOMA CITY,OK,73152,OKLAHOMA,United States of America,Health Department,State Government,"$184,825,180 "
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,878648294,OKLAHOMA CITY,OK,731900001,OKLAHOMA,United States of America,Hospital,State Government,"$3,040,112 "
OK ST HEALTH DEPARTMENT,143673015,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Other Health Organization,State Government,$0 
OK ST HEALTH DEPARTMENT,161912303,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Other Health Organization,State Government,"$4,038,777,576 "
HARRIS COUNTY HOSPITAL DISTRICT,86976214,HOUSTON,TX,772666769,HARRIS,United States of America,Other Health Organization,County Government,"$6,710,135 "
AUSTIN-TRAVIS COUNTY MNTL HEALTH & MNTL RETARDATION CTR,78496213,AUSTIN,TX,78704,TRAVIS,United States of America,Other Health Organization,County Government,"$1,525,000 "
TROPICAL TX BEHAVIORAL HEALTH,74620667,EDINBURG,TX,785399727,HIDALGO,United States of America,Other Health Organization,County Government,"$125,000 "
BEXAR COUNTY BOARD OF MNTL HLTH & MNTL RETARDATION,10528560,SAN ANTONIO,TX,78204,BEXAR,United States of America,Health Department,County Government,$0 
HEART OF TEXAS REGION MNTL HLTH & MNTL RETARDATION CTR,10470870,WACO,TX,76703,MCLENNAN,United States of America,Other Health Organization,County Government,"$238,055 "
Coastal Health & Wellness,135951940,LA MARQUE,TX,775685925,GALVESTON,United States of America,Hospital,County Government,"$4,553,430 "
