"TAGGS Recipient Search Export
Data Fiscal Year = 2019; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
County of Transylvania,30494215,BREVARD,NC,28712,TRANSYLVANIA,United States of America,Health Department,County Government,"$96,221 "
WAKE COUNTY DEPARTMENT OF HEALTH,170300755,RALEIGH,NC,276204049,WAKE,United States of America,Hospital,County Government,"$534,798 "
CUMBERLAND COUNTY HEALTH DEPARTMENT,123914376,FAYETTEVILLE,NC,28302,CUMBERLAND,United States of America,Health Department,County Government,"$70,000 "
Stanly County,131060829,ALBEMARLE,NC,280012847,STANLY,United States of America,Health Department,County Government,"$1,000,000 "
"LEXINGTON/RICHLAND ALCOHOL & DRUG ABUSE COUNCIL, INC",944157007,COLUMBIA,SC,29203,RICHLAND,United States of America,Other Health Organization,City Government,"$668,166 "
Greenville County Commission on Alcohol and Drug Abuse,966622263,GREENVILLE,SC,296072410,GREENVILLE,United States of America,Other Health Organization,County Government,"$245,256 "
Chester County Commission on Alcohol and Drug Abuse,964833177,Chester,SC,297061524,CHESTER,United States of America,Other Health Organization,County Government,"$231,675 "
DHHS IHS PHOENIX AREA,79950017,PARKER,AZ,85344,LA PAZ,United States of America,Health Department,State Government,"$203,991 "
SC ST DEPT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29211,RICHLAND,United States of America,Health Department,State Government,"$78,617,460 "
South Carolina Department Health & Human Services,607243706,COLUMBIA,SC,29202,RICHLAND,United States of America,Other Health Organization,State Government,"$338,717 "
SC ST DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29201,RICHLAND,United States of America,Health Department,State Government,"$16,644,937 "
SC ST DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29201,RICHLAND,United States of America,Health Department,State Government,"$3,139,944 "
SC ST DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29201,RICHLAND,United States of America,Health Department,State Government,"$375,000 "
"Lancaster, County of",86866944,LANCASTER,SC,297211809,LANCASTER,United States of America,Other Health Organization,County Government,"$807,116 "
SC ST DEPARTMENT OF MENTAL HEALTH,43980093,COLUMBIA,SC,29202,RICHLAND,United States of America,Health Department,State Government,"$15,377,265 "
SC ST DEPARTMENT OF MENTAL HEALTH,112674036,COLUMBIA,SC,29202,RICHLAND,United States of America,Health Department,State Government,$0 
SPARTANBURG GENERAL HOSPITAL,52072048,SPARTANBURG,SC,29303,SPARTANBURG,United States of America,Hospital,County Government,"($4,841)"
COLUMBUS DEPARTMENT OF PUBLIC HEALTH,136663072,COLUMBUS,GA,31902,MUSCOGEE,United States of America,Health Department,City Government,"$19,893 "
LAURENS COUNTY BOARD OF HEALTH,143060593,DUBLIN,GA,31021,LAURENS,United States of America,Health Department,County Government,"$1,371,105 "
Columbus Consolidated Government,37221327,COLUMBUS,GA,319021340,MUSCOGEE,United States of America,Health Department,County Government,"$843,380 "
CLAYTON COUNTY HEALTH DEPARTMENT,962435579,JONESBORO,GA,30236,CLAYTON,United States of America,Health Department,County Government,"$1,179,168 "
HOUSTON COUNTY HEALTH DEPARTMENT,123374162,MACON,GA,31201,BIBB,United States of America,Health Department,County Government,"$1,252,758 "
LOWNDES COUNTY BOARD OF HEALTH,101007164,VALDOSTA,GA,316035147,LOWNDES,United States of America,Health Department,County Government,"$537,668 "
"THE FAMILY HEALTH CENTERS OF GEORGIA, INC",10105807,ATLANTA,GA,303102750,FULTON,United States of America,Hospital,County Government,"$13,438,124 "
GA ST DEPT OF COMMUNITY HEALTH,90320420,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"$84,999 "
GA ST DEPT OF COMMUNITY HEALTH,103886896,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"$6,179,928 "
GA ST DEPT OF COMMUNITY HEALTH,142661680,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"$5,114,116 "
GA ST DEPT OF COMMUNITY HEALTH,968217559,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"($12,825)"
GA ST DEPT OF MEDICAL ASSISTANCE,142661680,ATLANTA,GA,303033159,FULTON,United States of America,Health Department,State Government,"$8,022,459,239 "
"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",93125649,NEWTON GROVE,NC,28366,SAMPSON,United States of America,Hospital,County Government,"$12,124,587 "
DEKALB COUNTY BOARD OF HEALTH,42630975,DECATUR,GA,30030,DE KALB,United States of America,Health Department,County Government,"$904,042 "
CLARKE COUNTY BOARD OF HEALTH,102233116,ATHENS,GA,30605,CLARKE,United States of America,Other Health Organization,County Government,"$547,404 "
Advantage Behavioral Health Systems,930142125,ATHENS,GA,306010000,CLARKE,United States of America,Health Department,State Government,$0 
FLOYD COUNTY BOARD OF HEALTH,617083241,ROME,GA,30161,FLOYD,United States of America,Health Department,County Government,"$299,297 "
HALL COUNTY BOARD OF HEALTH,805622177,GAINESVILLE,GA,30501,HALL,United States of America,Health Department,County Government,"$321,369 "
WARE COUNTY BOARD OF HEALTH,39487210,WAYCROSS,GA,315013525,WARE,United States of America,Health Department,County Government,"$1,185,055 "
City of Atlanta - ATL Homeless Continuum of Care,65372500,ATLANTA,GA,30303,FULTON,United States of America,Health Department,City Government,$0 
COBB COUNTY BOARD OF HEALTH,612931212,MARIETTA,GA,30060,COBB,United States of America,Health Department,County Government,"$1,367,686 "
Grady Memorial Hospital Corp D/B/A Grady Health System,961615700,ATLANTA,GA,30335,FULTON,United States of America,Hospital,County Government,"$627,060 "
TIFT REGIONAL MEDICAL CENTER,968649579,TIFTON,GA,31794,TIFT,United States of America,Hospital,City Government,"$515,874 "
FULTON COUNTY HEALTH DEPARTMENT,133894167,ATLANTA,GA,30303,FULTON,United States of America,Health Department,County Government,"$26,986,964 "
WAYNE COUNTY HEALTH DEPARTMENT,617082441,JESUP,GA,31545,WAYNE,United States of America,Health Department,County Government,"$200,000 "
CHATHAM COUNTY DEPARTMENT OF HEALTH,826501947,SAVANNAH,GA,314161257,CHATHAM,United States of America,Health Department,County Government,"$1,687,155 "
"LAKEVIEW CENTER, INC",98929524,PENSACOLA,FL,325011857,ESCAMBIA,United States of America,Hospital,County Government,"$1,373,132 "
"COMMUNITY HEALTH OF SOUTH FLORIDA, INC",72250160,MIAMI,FL,33170,,United States of America,Other Health Organization,County Government,"$19,451,985 "
FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA,84188598,FORT MYERS,FL,339021357,LEE,United States of America,Other Health Organization,County Government,"$10,217,648 "
"SUNCOAST COMMUNITY HEALTH CENTERS, INC",91654814,RUSKIN,FL,33570,HILLSBOROUGH,United States of America,Hospital,County Government,"$6,958,862 "
"FL DISABILITIES DEVELOPMENTAL COUNCIL, INC.",36530194,TALLAHASSEE,FL,323012981,LEON,United States of America,Health Department,State Government,"$3,882,710 "
FL ST DEPT OF HLTH,364215061,TALLAHASSEE,FL,323991729,LEON,United States of America,Health Department,State Government,"$167,796,633 "
PINELLAS COUNTY PUBLIC HEALTH UNIT,364215061,SAINT PETERSBURG,FL,33701,PINELLAS,United States of America,Health Department,County Government,"($189,509)"
OKALOOSA COUNTY HEALTH DEPT.,364215061,FT WALTON,FL,325485066,OKALOOSA,United States of America,Health Department,County Government,"$306,167 "
"Health, Florida Department of",364215061,TALLAHASSEE,FL,323991701,DUVAL,United States of America,Health Department,County Government,"$2,603,557 "
BROWARD COUNTY HEALTH DEPARTMENT,364215061,FORT LAUDERDALE,FL,33315,BROWARD,United States of America,Health Department,County Government,"$3,576,845 "
HENDRY COUNTY HEALTH DEPARTMENT,364215061,LABELLE,FL,33975,HENDRY,United States of America,Health Department,State Government,"$317,459 "
Baker County Health Department,364215061,MACCLENNY,FL,32063,BAKER,United States of America,Health Department,County Government,"$841,077 "
Osceola County Health Department,364215061,KISSIMMEE,FL,347444428,OSCEOLA,United States of America,Health Department,County Government,$0 
UNION COUNTY HEALTH DEPARTMENT,364215061,LAKE BUTLER,FL,320541731,UNION,United States of America,Health Department,State Government,"$1,223,048 "
WALTON COUNTY HEALTH DEPARTMENT,364215061,DEFUNIAK SPRINGS,FL,32433,WALTON,United States of America,Health Department,State Government,"$1,427,686 "
COMMUNITY HEALTH & HUMAN SCVS DEPARTMENT,69672137,TAMPA,FL,33602,HILLSBOROUGH,United States of America,Health Department,County Government,"$10,362,720 "
ORANGE COUNTY HEALTH DEPARTMENT,364215061,ORLANDO,FL,32804,ORANGE,United States of America,Health Department,County Government,"$1,675,176 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,360706212,TALLAHASSEE,FL,323996570,LEON,United States of America,Health Department,State Government,"$367,669,025 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,604604350,TALLAHASSEE,FL,323996570,LEON,United States of America,Health Department,State Government,"$764,740,804 "
FL ST DEPARTMENT OF HEALTH & REHABILITATIVE SERVICES,364215061,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$4,960,858 "
POLK COUNTY PUBLIC HEALTH UNIT,364215061,BARTOW,FL,33830,POLK,United States of America,Other Health Organization,County Government,"$546,633 "
FL ST FOR HEALTH CARE ADMINISTRATION,135837198,TALLAHASSEE,FL,32308,LEON,United States of America,Other Health Organization,State Government,"$15,114,645,089 "
FL ST FOR HEALTH CARE ADMINISTRATION,364215061,TALLAHASSEE,FL,32308,LEON,United States of America,Other Health Organization,State Government,"$11,198,755 "
FL ST DEPT OF HLTH,364215061,TALLAHASSEE,FL,323991729,LEON,United States of America,Health Department,State Government,"$143,392,718 "
"FL ST DEPT OF HLTH & REHAB SVCS, AGING & ADULT SERVICES",604604350,TALLAHSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$5,300,180 "
UNIVERSITY OF FLORIDA,92530369,GAINESVILLE,FL,326113001,ALACHUA,United States of America,Hospital,State Government,"$194,156 "
UNIVERSITY OF FLORIDA,969663814,GAINESVILLE,FL,326113001,ALACHUA,United States of America,Hospital,State Government,"$194,795,079 "
SOUTH BROWARD HOSPITAL DISTRICT,148577166,HOLLYWOOD,FL,330215421,BROWARD,United States of America,Hospital,State Government,"$150,000 "
KY ST DEPARTMENT OF HEALTH,927049767,FRANKFORT,KY,40601,FRANKLIN,United States of America,Health Department,State Government,"$535,000 "
KY ST CABINET FOR HEALTH AND FAMILY SERVICES,927049767,FRANKFORT,KY,40621,FRANKLIN,United States of America,Health Department,State Government,"$8,694,580,421 "
KY ST DEPT OF INS,40579752,FRANKFORT,KY,40601,FRANKLIN,United States of America,Other Health Organization,State Government,"($14,394)"
"KY Dept. for Behavioral Health, Dev. & Intell. Disabi",927049767,FRANKFORT,KY,40601,FRANKLIN,United States of America,Health Department,State Government,"$48,669,300 "
"REGION 20 MENTAL HEALTH & MENTAL RETARDATION BOARD, INC",68135607,PRESTONSBURG,KY,41653,FLOYD,United States of America,Health Department,State Government,"$1,688,646 "
MADISON COUNTY HEALTH DEPARTMENT,137703609,RICHMOND,KY,404761208,MADISON,United States of America,Health Department,County Government,"$123,730 "
PURCHASE DISTRICT HEALTH DEPARTMENT (INC),784080116,PADUCAH,KY,420031955,MCCRACKEN,United States of America,Health Department,State Government,"$700,000 "
State of Connecticut Consumer Protection,949575682,HARTFORD,CT,6106,HARTFORD,United States of America,Other Health Organization,State Government,"$223,581 "
KENTON COUNTY DETENTION CENTER,808440577,COVINGTON,KY,410171168,KENTON,United States of America,Health Department,County Government,"$524,670 "
NASHVILLE METROPOLITAN HEALTH DEPARTMENT,78217668,NASHVILLE,TN,37203,DAVIDSON,United States of America,Health Department,City Government,"$5,147,827 "
"MORGAN COUNTY HEALTH COUNCIL, INC",188838395,WARTBURG,TN,378870408,MORGAN,United States of America,Other Health Organization,County Government,"$1,635,577 "
"PERRY COUNTY MEDICAL CENTER, INC",122481179,LINDEN,TN,370960916,PERRY,United States of America,Hospital,County Government,"$2,320,810 "
Professional Care Services of West TN,73522161,COVINGTON,TN,38019,TIPTON,United States of America,Other Health Organization,County Government,"$246,166 "
City of Knoxville,42453530,KNOXVILLE,TN,379022494,KNOX,United States of America,Other Health Organization,City Government,"$124,539 "
CHATTANOOGA-HAMILTON COUNTY HEALTH DEPARTMENT,29870271,CHATTANOOGA,TN,37403,HAMILTON,United States of America,Health Department,County Government,"$1,561,143 "
"COUNTY OF ROANE, INC. - RECOVERY COURT EXPANSION",876225632,KINGSTON,TN,37763,ROANE,United States of America,Health Department,County Government,"$400,000 "
"RUTHERFORD, COUNTY OF - PROBATION & RECOVERY SERVICE",64367980,MURFREESBORO,TN,37130,RUTHERFORD,United States of America,Health Department,County Government,"$322,671 "
Williamson County General Sessions DUI Court,31968063,FRANKLIN,TN,37064,WILLIAMSON,United States of America,Other Health Organization,State Government,"$399,031 "
TN ST DEPARTMENT OF HEALTH,172636268,NASHVILLE,TN,372470310,DAVIDSON,United States of America,Health Department,State Government,"$118,341,989 "
TN ST DEPARTMENT OF HEALTH,879016251,NASHVILLE,TN,372470310,DAVIDSON,United States of America,Health Department,State Government,"($60,000)"
TN ST DEPT OF MNTL HLTH and Substance Abuse Services,878890425,NASHVILLE,TN,372438121,DAVIDSON,United States of America,Health Department,State Government,"$71,253,600 "
TN ST DEPARTMENT OF MENTAL HEALTH,878890425,NASHVILLE,TN,37219,DAVIDSON,United States of America,Health Department,State Government,"$13,278,279 "
TN Commission on Aging and Disability,98973790,NASHVILLE,TN,37243,DAVIDSON,United States of America,Other Health Organization,State Government,"$31,462,690 "
CHILDREN'S HOSPITAL OF ALABAMA,72106867,BIRMINGHAM,AL,352331711,JEFFERSON,United States of America,Hospital,City Government,"$6,040,875 "
AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,929956324,MONTGOMERY,AL,361301410,MONTGOMERY,United States of America,Health Department,State Government,"$26,882,744 "
"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC.",23092505,BAYOU LA BATRE,AL,365090769,MOBILE,United States of America,Other Health Organization,City Government,"$3,377,476 "
NORTHEAST ALABAMA HEALTH SERVICES INC,12874991,SCOTTSBORO,AL,35768,JACKSON,United States of America,Health Department,County Government,"$2,672,964 "
AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,929956324,MONTGOMERY,AL,36193,MONTGOMERY,United States of America,Health Department,State Government,"$34,838,173 "
AL ST DEPARTMENT OF PUBLIC HEALTH,613842061,MONTGOMERY,AL,361303017,MONTGOMERY,United States of America,Health Department,State Government,"$38,506,544 "
AL ST DEPARTMENT OF PUBLIC HEALTH,613842061,MONTGOMERY,AL,36104,MONTGOMERY,United States of America,Health Department,State Government,"$57,195,681 "
ALABAMA MEDICAID AGENCY,1904635,MONTGOMERY,AL,361035624,MONTGOMERY,United States of America,Other Health Organization,State Government,"$5,691,131,076 "
MOBILE COUNTY HEALTH DEPARTMENT,877377440,MOBILE,AL,366522867,MOBILE,United States of America,Health Department,County Government,"$9,763,020 "
UNIVERSITY OF ALABAMA HOSPITALS,63690705,BIRMINGHAM,AL,35233,JEFFERSON,United States of America,Hospital,State Government,"$3,117,326 "
UNIVERSITY OF ALABAMA HOSPITALS,63690705,BIRMINGHAM,AL,35233,JEFFERSON,United States of America,Hospital,State Government,"$1,503,039 "
"MS ST OFFICE OF THE GOVERNOR, DIVISION OF MEDICAID",36720175,JACKSON,MS,392011311,HINDS,United States of America,Other Health Organization,State Government,"$4,511,702,245 "
PINE BELT MENTAL HEALTH & RETARDATION SERVICES,44748812,HATTIESBURG,MS,394048679,FORREST,United States of America,Health Department,State Government,"$1,218,445 "
"MS ST DEPT OF MENTAL HEALTH, DIVISION OF ADMINISTRATION",809399926,JACKSON,MS,39201,HINDS,United States of America,Health Department,State Government,"$19,126,672 "
MS ST DEPARTMENT OF MENTAL HEALTH,809399926,JACKSON,MS,39201,HINDS,United States of America,Health Department,State Government,"$22,223,584 "
DeSoto County Mississippi,81342743,HERNANDO,MS,386322170,DE SOTO,United States of America,Other Health Organization,County Government,$0 
15th Judicial District Drug Court,25609518,PURVIS,MS,39475,LAMAR,United States of America,Health Department,County Government,"$299,377 "
MS DEPT REHAB. OFFICE OF SPEC. SERV FOR INDV. WITH DISB,809850100,JACKSON,MS,392151698,HINDS,United States of America,Health Department,State Government,"$753,846 "
MS ST DEPARTMENT OF HEALTH,809399892,JACKSON,MS,392151700,HINDS,United States of America,Health Department,State Government,"$70,932,893 "
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,928824473,JACKSON,MS,392164500,HINDS,United States of America,Hospital,State Government,$0 
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,67713560,JACKSON,MS,392164500,HINDS,United States of America,Hospital,State Government,$0 
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,928824473,JACKSON,MS,392164500,HINDS,United States of America,Hospital,State Government,"$32,312,060 "
TALLAHATCHIE GENERAL HOSPITAL,30418511,CHARLESTON,MS,38921,TALLAHATCHIE,United States of America,Hospital,County Government,($6)
Pridelines Youth Services dba Pridelines,50379259,MIAMI,FL,331386108,,United States of America,Health Department,State Government,"$225,000 "
"Salud Integral en la Montana, Inc.",136099236,NARANJITO,PR,7190515,NARANJITO,USA Related Territories,Health Department,State Government,"$8,433,767 "
Department Of Education Of Puerto Rico,90142522,SAN JUAN,PR,9190759,SAN  JUAN,USA Related Territories,Health Department,State Government,"$34,347 "
Department Of Education Of Puerto Rico,105817142,SAN JUAN,PR,9190759,SAN  JUAN,USA Related Territories,Health Department,State Government,"$282,688 "
PUERTO RICO PLANNING BOARD,91087734,SAN JUAN,PR,940,SAN  JUAN,USA Related Territories,Health Department,State Government,"$500,776 "
MUNICIPALITY OF BAYAMON,140030706,RIO PIEDRAS,PR,927,SAN  JUAN,USA Related Territories,Health Department,City Government,"$683,592 "
PONCE DEPARTMENT OF HEALTH,91127365,PONCE,PR,731,PONCE,USA Related Territories,Health Department,County Government,"$2,749,548 "
PONCE DEPARTMENT OF HEALTH,138395335,PONCE,PR,731,PONCE,USA Related Territories,Health Department,County Government,"($2,630)"
Departamento De Salud Oficial,105817142,SAN JUAN,PR,9368184,SAN  JUAN,USA Related Territories,Other Health Organization,State Government,"$40,284,611 "
Mental Health & Anti-Addiction Serv Adminstration,612702134,BAYAMON,PR,9607087,BAYAMON,USA Related Territories,Health Department,State Government,"$21,609,778 "
Virgin Islands Domestic Violence And Sexual Assault Cou,160345240,KINGSHILL,VI,850,FREDERIKSTED,USA Related Territories,Other Health Organization,State Government,"$270,894 "
Northern Marianas Coalition Against Sexual and Domestic,854856606,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Other Health Organization,State Government,"$270,894 "
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",132316811,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$50,000 "
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",145950189,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$150,464 "
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",167269765,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$249,108,305 "
CA ST OFFICE OF STATEWIDE HEALTH PLANNING & DEVELOP,106882207,SACRAMENTO,CA,958146437,SACRAMENTO,United States of America,Health Department,State Government,"$1,560,118 "
South Heartland District Health Department,147310242,HASTINGS,NE,689015256,ADAMS,United States of America,Health Department,State Government,"$100,000 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,604604350,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$102,157,832 "
LEE COUNTY COOPERATIVE CLINIC,78575107,MARIANNA,AR,72360,LEE,United States of America,Other Health Organization,County Government,"$2,306,659 "
ARKANSAS DEPARTMENT OF HEALTH,809873185,LITTLE ROCK,AR,722053866,PULASKI,United States of America,Health Department,State Government,"$23,777,632 "
Arkansas St Dept of Health - Injury & Viol. Prevention,809873185,LITTLE ROCK,AR,722053867,PULASKI,United States of America,Health Department,State Government,"($1,505,313)"
ARKANSAS DEPARTMENT OF HEALTH,809873185,LITTLE ROCK,AR,722053867,PULASKI,United States of America,Health Department,State Government,"$39,272,815 "
UNIVERSITY OF ARKANSAS SYSTEM,122452563,LITTLE ROCK,AR,722057199,PULASKI,United States of America,Other Health Organization,State Government,"$65,679,050 "
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,95439774,SHREVEPORT,LA,711303932,CADDO,United States of America,Hospital,State Government,"$13,685,821 "
CATAHOULA PARISH HOSPITAL DISTRICT #2,3197147,SICILY ISLAND,LA,713680033,CATAHOULA,United States of America,Other Health Organization,County Government,"$2,534,475 "
TERREBONNE PARISH CONSOLIDATED GOV`T. - DIST. ATTY. OFF,76444814,HOUMA,LA,703603422,TERREBONNE,United States of America,Health Department,County Government,"$324,458 "
Capital Area Human Services District,158250709,BATON ROUGE,LA,70806,EAST BATON ROUGE,United States of America,Other Health Organization,County Government,"$100,000 "
"LA ST DEPT OF HEALTH & HOSPITALS, ADMINISTRATION SVCS",14740455,NEW ORLEANS,LA,70160,ORLEANS,United States of America,Health Department,State Government,"$1,266,350 "
"LA ST DEPARTMENT OF HEALTH, DIV OF MATERNAL & CHLD HLTH",14740455,NEW ORLEANS,LA,70160,ORLEANS,United States of America,Health Department,State Government,"$11,360,069 "
"LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",14740455,NEW ORLEANS,LA,701611979,ORLEANS,United States of America,Health Department,State Government,"$66,378,417 "
NEW ORLEANS CITY HEALTH DEPARTMENT,98595978,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$2,677,568 "
NEW ORLEANS CITY HEALTH DEPARTMENT,616466640,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$215,869 "
NEW ORLEANS MAYORS OFFICE ON HEATH POLICY & AIDS FUNDS,166691076,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$8,934,095 "
ACADIANA MENTAL HEALTH CENTER,809927064,LAFAYETTE,LA,70506,LAFAYETTE,United States of America,Hospital,State Government,"$200,000 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",14740455,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$7,558,386 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",626611685,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$9,042,021,194 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",809927064,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$41,307,678 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",968105937,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$21,913,209 "
OKLAHOMA CITY-COUNTY HEALTH DEPARTMENT,148092356,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Health Department,County Government,"$1,270,000 "
TULSA CITY & COUNTY HEALTH DEPARTMENT,48419753,TULSA,OK,741347004,TULSA,United States of America,Health Department,County Government,"$950,000 "
"Mental Health And Substance Abuse Services, Oklahoma De",933662934,OKLAHOMA CITY,OK,731523277,OKLAHOMA,United States of America,Health Department,State Government,"$54,795,587 "
OK ST DEPARTMENT OF HEALTH,143673015,OKLAHOMA CITY,OK,73152,OKLAHOMA,United States of America,Health Department,State Government,"$62,886,550 "
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,878648294,OKLAHOMA CITY,OK,731900001,OKLAHOMA,United States of America,Hospital,State Government,"$2,735,768 "
OK ST HEALTH DEPARTMENT,161912303,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Other Health Organization,State Government,"$3,382,887,545 "
MULTNOMAH COUNTY DIVISION OF HEALTH SERVICES,30784888,PORTLAND,OR,97216,MULTNOMAH,United States of America,Health Department,City Government,"$70,000 "
HARRIS COUNTY HOSPITAL DISTRICT,86976214,HOUSTON,TX,772666769,HARRIS,United States of America,Other Health Organization,County Government,"$5,194,651 "
AUSTIN-TRAVIS COUNTY MNTL HEALTH & MNTL RETARDATION CTR,78496213,AUSTIN,TX,78704,TRAVIS,United States of America,Other Health Organization,County Government,"$2,525,000 "
TROPICAL TX BEHAVIORAL HEALTH,74620667,EDINBURG,TX,785399727,HIDALGO,United States of America,Other Health Organization,County Government,"$1,150,000 "
BEXAR COUNTY BOARD OF MNTL HLTH & MNTL RETARDATION,10528560,SAN ANTONIO,TX,78204,BEXAR,United States of America,Health Department,County Government,"$2,308,875 "
HEART OF TEXAS REGION MNTL HLTH & MNTL RETARDATION CTR,10470870,WACO,TX,76703,MCLENNAN,United States of America,Other Health Organization,County Government,"$609,695 "
Coastal Health & Wellness,135951940,LA MARQUE,TX,775685925,GALVESTON,United States of America,Hospital,County Government,"$3,260,572 "
VIDA Y SALUD HEALTH SYSTEMS INC,74603770,CRYSTAL CITY,TX,78839,ZAVALA,United States of America,Other Health Organization,County Government,"$3,249,145 "
"UNIVERSITY OF TEXAS, HEALTH CENTER AT HOUSTON",800771594,HOUSTON,TX,772250036,HARRIS,United States of America,Hospital,State Government,"$616,000 "
UNITED MEDICAL CENTERS,31926009,EAGLE PASS,TX,78852,MAVERICK,United States of America,Hospital,County Government,"$5,567,376 "
ASSOCIATION OF STATE AND TERRITORIAL DENTAL DIRECTORS,135750516,SPARKS,NV,89434,WASHOE,United States of America,Health Department,State Government,"$400,000 "
California Dept of Public Health,799150615,SACRAMENTO,CA,95899,SACRAMENTO,United States of America,Other Health Organization,State Government,"$421,644,897 "
"AUSTIN, CITY OF",945607265,AUSTIN,TX,78767,TRAVIS,United States of America,Health Department,City Government,"$5,944,350 "
TX ST DEPARTMENT OF HEALTH,807391511,AUSTIN,TX,78756,TRAVIS,United States of America,Health Department,State Government,"$23,506,920 "
TX ST DEPARTMENT OF HEALTH RESOURCES,807391511,AUSTIN,TX,78756,TRAVIS,United States of America,Health Department,State Government,"$109,298,690 "
EL PASO CITY & COUNTY HEALTH DEPARTMENT,58873019,EL PASO,TX,79901,EL PASO,United States of America,Health Department,City Government,"$1,420,000 "
"UNIV OF TEXAS SYS CANCER CTR, M D ANDERSON HOSP/TUM INS",800772139,HOUSTON,TX,77030,HARRIS,United States of America,Other Health Organization,State Government,"$159,706,122 "
"UNIV OF TEXAS SYS CANCER CTR, M D ANDERSON HOSP/TUM INS",800772162,HOUSTON,TX,77030,HARRIS,United States of America,Other Health Organization,State Government,"($11,616)"
HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT,194586517,HOUSTON,TX,77054,HARRIS,United States of America,Health Department,City Government,"$19,072,170 "
City of Laredo Health Department,618150460,LAREDO,TX,78040,WEBB,United States of America,Health Department,City Government,"$300,000 "
BEXAR COUNTY,69446656,SAN ANTONIO,TX,782053087,BEXAR,United States of America,Other Health Organization,County Government,"$100,000 "
BEXAR COUNTY,70487020,SAN ANTONIO,TX,782053087,BEXAR,United States of America,Other Health Organization,County Government,"$336,946 "
SAN ANTONIO METROPOLITAN HEALTH DISTRICT,66428400,SAN ANTONIO,TX,78285,BEXAR,United States of America,Other Health Organization,City Government,"$26,877,942 "
BEXAR COUNTY HOSPITAL DISTRICT,69446656,SAN ANTONIO,TX,78284,BEXAR,United States of America,Hospital,County Government,"$9,355,616 "
HARRIS COUNTY HEALTH DEPARTMENT,72206378,HOUSTON,TX,77002,HARRIS,United States of America,Health Department,County Government,"$24,220,227 "
