"TAGGS Recipient Search Export
Data Fiscal Year = 2021; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
PURCHASE DISTRICT HEALTH DEPARTMENT (INC),784080116,PADUCAH,KY,420031955,MCCRACKEN,United States of America,Health Department,State Government,$0 
"Muhlenberg, County Of",146408224,CENTRAL CITY,KY,423301414,,United States of America,Health Department,County Government,"$125,000 "
Oldham County Fiscal Court,613454011,LA GRANGE,KY,40031,OLDHAM,United States of America,Health Department,County Government,$0 
NASHVILLE METROPOLITAN HEALTH DEPARTMENT,78217668,NASHVILLE,TN,37203,DAVIDSON,United States of America,Health Department,City Government,"$1,994,411 "
"MORGAN COUNTY HEALTH COUNCIL, INC",188838395,WARTBURG,TN,378870408,MORGAN,United States of America,Other Health Organization,County Government,"$3,057,605 "
"PERRY COUNTY MEDICAL CENTER, INC",122481179,LINDEN,TN,370960916,PERRY,United States of America,Hospital,County Government,"$4,000,588 "
Professional Care Services of West TN,73522161,COVINGTON,TN,38019,TIPTON,United States of America,Other Health Organization,County Government,$0 
CHATTANOOGA-HAMILTON COUNTY HEALTH DEPARTMENT,29870271,CHATTANOOGA,TN,37403,HAMILTON,United States of America,Health Department,County Government,"$3,457,170 "
MEMPHIS & SHELBY COUNTY DEPARTMENT OF HEALTH,41174889,MEMPHIS,TN,381055041,SHELBY,United States of America,Health Department,County Government,"$1,213,893 "
TN ST DEPARTMENT OF HEALTH,172636268,NASHVILLE,TN,372470310,DAVIDSON,United States of America,Health Department,State Government,"$799,900,208 "
TN ST DEPT OF MNTL HLTH and Substance Abuse Services,878890425,NASHVILLE,TN,372438121,DAVIDSON,United States of America,Health Department,State Government,"$45,211,914 "
TN ST DEPARTMENT OF MENTAL HEALTH,878890425,NASHVILLE,TN,37219,DAVIDSON,United States of America,Health Department,State Government,"$29,536,859 "
TN Commission on Aging and Disability,98973790,NASHVILLE,TN,37243,DAVIDSON,United States of America,Other Health Organization,State Government,"$35,432,123 "
CHILDREN'S HOSPITAL OF ALABAMA,72106867,BIRMINGHAM,AL,352331711,JEFFERSON,United States of America,Hospital,City Government,"$3,269,285 "
AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,929956324,MONTGOMERY,AL,361301410,MONTGOMERY,United States of America,Health Department,State Government,"$4,000,000 "
"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC.",23092505,BAYOU LA BATRE,AL,365090769,MOBILE,United States of America,Other Health Organization,City Government,"$6,737,010 "
NORTHEAST ALABAMA HEALTH SERVICES INC,12874991,SCOTTSBORO,AL,35768,JACKSON,United States of America,Health Department,County Government,"$2,609,750 "
AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,929956324,MONTGOMERY,AL,36193,MONTGOMERY,United States of America,Health Department,State Government,"$51,041,526 "
AL ST DEPARTMENT OF PUBLIC HEALTH,613842061,MONTGOMERY,AL,361303017,MONTGOMERY,United States of America,Health Department,State Government,"$436,073,222 "
AL ST DEPARTMENT OF PUBLIC HEALTH,1904635,MONTGOMERY,AL,36104,MONTGOMERY,United States of America,Health Department,State Government,"$220,018,631 "
AL ST DEPARTMENT OF PUBLIC HEALTH,613842061,MONTGOMERY,AL,36104,MONTGOMERY,United States of America,Health Department,State Government,"$127,950,795 "
ALABAMA MEDICAID AGENCY,1904635,MONTGOMERY,AL,361035624,MONTGOMERY,United States of America,Other Health Organization,State Government,"$2,828,233,514 "
"Senior Services, Alabama Dept of",1746440,MONTGOMERY,AL,361301851,MONTGOMERY,United States of America,Health Department,State Government,"$338,717 "
MOBILE COUNTY HEALTH DEPARTMENT,877377440,MOBILE,AL,366522867,MOBILE,United States of America,Health Department,County Government,"$10,327,140 "
UNIVERSITY OF ALABAMA HOSPITALS,63690705,BIRMINGHAM,AL,35233,JEFFERSON,United States of America,Hospital,State Government,"$878,417 "
UNIVERSITY OF ALABAMA HOSPITALS,63690705,BIRMINGHAM,AL,35233,JEFFERSON,United States of America,Hospital,State Government,$0 
"MS ST OFFICE OF THE GOVERNOR, DIVISION OF MEDICAID",36720175,JACKSON,MS,392011311,HINDS,United States of America,Other Health Organization,State Government,"$2,589,143,045 "
PINE BELT MENTAL HEALTH & RETARDATION SERVICES,44748812,HATTIESBURG,MS,394048679,FORREST,United States of America,Health Department,State Government,"$372,934 "
"MS ST DEPT OF MENTAL HEALTH, DIVISION OF ADMINISTRATION",809399926,JACKSON,MS,39201,HINDS,United States of America,Health Department,State Government,"$4,617,765 "
MS ST DEPARTMENT OF MENTAL HEALTH,809399926,JACKSON,MS,39201,HINDS,United States of America,Health Department,State Government,"$31,435,504 "
15th Judicial District Drug Court,25609518,PURVIS,MS,39475,LAMAR,United States of America,Health Department,County Government,$0 
MS DEPT REHAB. OFFICE OF SPEC. SERV FOR INDV. WITH DISB,809850100,JACKSON,MS,392151698,HINDS,United States of America,Health Department,State Government,"$771,449 "
MS ST DEPARTMENT OF HEALTH,809399892,JACKSON,MS,392151700,HINDS,United States of America,Health Department,State Government,"$358,713,248 "
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,928824473,JACKSON,MS,392164500,HINDS,United States of America,Hospital,State Government,"$7,273,127 "
"Salud Integral en la Montana, Inc.",136099236,NARANJITO,PR,7190515,NARANJITO,USA Related Territories,Health Department,State Government,"$9,419,375 "
VIRGIN ISLANDS DEPT OF HEALTH GROUP,167269765,CHARLOTTE AMALIE,VI,8026722,,USA Related Territories,Health Department,State Government,"$929,116 "
Department Of Education Of Puerto Rico,105817142,SAN JUAN,PR,9190759,SAN  JUAN,USA Related Territories,Health Department,State Government,"($180,987)"
PUERTO RICO PLANNING BOARD,91087734,SAN JUAN,PR,940,SAN  JUAN,USA Related Territories,Health Department,State Government,"$752,079 "
MUNICIPALITY OF BAYAMON,140030706,RIO PIEDRAS,PR,927,SAN  JUAN,USA Related Territories,Health Department,City Government,"$289,721 "
Departamento De Salud Oficial,105817142,SAN JUAN,PR,9368184,SAN  JUAN,USA Related Territories,Other Health Organization,State Government,"$302,289,218 "
Mental Health & Anti-Addiction Serv Adminstration,612702134,BAYAMON,PR,9607087,BAYAMON,USA Related Territories,Health Department,State Government,"$9,309,228 "
Virgin Islands Domestic Violence And Sexual Assault Cou,160345240,KINGSHILL,VI,850,FREDERIKSTED,USA Related Territories,Other Health Organization,State Government,$0 
Northern Marianas Coalition Against Sexual and Domestic,854856606,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Other Health Organization,State Government,$0 
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",145950189,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$150,464 "
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",167269765,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$153,057,597 "
CA ST OFFICE OF STATEWIDE HEALTH PLANNING & DEVELOP,106882207,SACRAMENTO,CA,958146437,SACRAMENTO,United States of America,Health Department,State Government,"$563,244 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,604604350,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$77,556,473 "
LEE COUNTY COOPERATIVE CLINIC,78575107,MARIANNA,AR,72360,LEE,United States of America,Other Health Organization,County Government,"$3,870,470 "
ARKANSAS DEPARTMENT OF HEALTH,172039018,LITTLE ROCK,AR,722053866,PULASKI,United States of America,Health Department,State Government,($1)
ARKANSAS DEPARTMENT OF HEALTH,809873185,LITTLE ROCK,AR,722053866,PULASKI,United States of America,Health Department,State Government,"$9,545,965 "
ARKANSAS DEPARTMENT OF HEALTH,809873185,LITTLE ROCK,AR,722053867,PULASKI,United States of America,Health Department,State Government,"$335,636,934 "
"AR ST DEPT OF HEALTH, DIV OF ENVIRONMENTAL HEALTH MAINT",809873185,LITTLE ROCK,AR,72205,PULASKI,United States of America,Health Department,State Government,($309)
UNIVERSITY OF ARKANSAS SYSTEM,122452563,LITTLE ROCK,AR,722057199,PULASKI,United States of America,Other Health Organization,State Government,"$25,102,293 "
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,95439774,SHREVEPORT,LA,711303932,CADDO,United States of America,Hospital,State Government,"$6,867,138 "
CATAHOULA PARISH HOSPITAL DISTRICT #2,3197147,SICILY ISLAND,LA,713680033,CATAHOULA,United States of America,Other Health Organization,County Government,"$4,897,664 "
Capital Area Human Services District,158250709,BATON ROUGE,LA,70806,EAST BATON ROUGE,United States of America,Other Health Organization,County Government,$0 
"LA ST DEPT OF HEALTH & HOSPITALS, ADMINISTRATION SVCS",14740455,NEW ORLEANS,LA,70160,ORLEANS,United States of America,Health Department,State Government,"$154,135 "
"LA ST DEPARTMENT OF HEALTH, DIV OF MATERNAL & CHLD HLTH",14740455,NEW ORLEANS,LA,70160,ORLEANS,United States of America,Health Department,State Government,"$7,116,283 "
"LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",14740455,NEW ORLEANS,LA,701611979,ORLEANS,United States of America,Health Department,State Government,"$535,806,613 "
NEW ORLEANS CITY HEALTH DEPARTMENT,98595978,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$3,929,517 "
NEW ORLEANS CITY HEALTH DEPARTMENT,118981596,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"($40,000)"
NEW ORLEANS CITY HEALTH DEPARTMENT,616466640,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"($24,975)"
NEW ORLEANS MAYORS OFFICE ON HEATH POLICY & AIDS FUNDS,166691076,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$10,311,345 "
"NEW ORLEANS, CITY OF",118981596,NEW ORLEANS,LA,70122,,United States of America,Health Department,City Government,"$40,000 "
LA ST OFFICE OF MENTAL HEALTH,809927064,BATON ROUGE,LA,70804,EAST BATON ROUGE,United States of America,Health Department,State Government,"($3,775,959)"
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",14740455,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$3,683,749 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",626611685,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$12,664,939,763 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",809927064,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$30,857,599 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",968105937,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$26,055,318 "
"HEALTH, LOUISIANA DEPARTMENT OF",968105937,BATON ROUGE,LA,70821,EAST BATON ROUGE,United States of America,Health Department,State Government,"$1,386,072 "
OKLAHOMA CITY-COUNTY HEALTH DEPARTMENT,148092356,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Health Department,County Government,"($16,646)"
TULSA CITY & COUNTY HEALTH DEPARTMENT,48419753,TULSA,OK,741347004,TULSA,United States of America,Health Department,County Government,"$980,000 "
"Mental Health And Substance Abuse Services, Oklahoma De",933662934,OKLAHOMA CITY,OK,731523277,OKLAHOMA,United States of America,Health Department,State Government,"$39,118,249 "
OK ST DEPARTMENT OF HEALTH,143673015,OKLAHOMA CITY,OK,73152,OKLAHOMA,United States of America,Health Department,State Government,"$449,282,787 "
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,878648294,OKLAHOMA CITY,OK,731900001,OKLAHOMA,United States of America,Hospital,State Government,"($29,726)"
OK ST HEALTH DEPARTMENT,161912303,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Other Health Organization,State Government,"$3,826,425,936 "
MULTNOMAH COUNTY DIVISION OF HEALTH SERVICES,30784888,PORTLAND,OR,97216,MULTNOMAH,United States of America,Health Department,City Government,"($69,127)"
HARRIS COUNTY HOSPITAL DISTRICT,86976214,HOUSTON,TX,772666769,HARRIS,United States of America,Other Health Organization,County Government,"$8,334,114 "
AUSTIN-TRAVIS COUNTY MNTL HEALTH & MNTL RETARDATION CTR,78496213,AUSTIN,TX,78704,TRAVIS,United States of America,Other Health Organization,County Government,"($1,124,287)"
TROPICAL TX BEHAVIORAL HEALTH,74620667,EDINBURG,TX,785399727,HIDALGO,United States of America,Other Health Organization,County Government,"$3,785,402 "
BEXAR COUNTY BOARD OF MNTL HLTH & MNTL RETARDATION,10528560,SAN ANTONIO,TX,78204,BEXAR,United States of America,Health Department,County Government,$0 
HEART OF TEXAS REGION MNTL HLTH & MNTL RETARDATION CTR,10470870,WACO,TX,76703,MCLENNAN,United States of America,Other Health Organization,County Government,"$3,974,241 "
Coastal Health & Wellness,135951940,LA MARQUE,TX,775685925,GALVESTON,United States of America,Hospital,County Government,"$7,821,355 "
VIDA Y SALUD HEALTH SYSTEMS INC,74603770,CRYSTAL CITY,TX,78839,ZAVALA,United States of America,Other Health Organization,County Government,"$4,686,305 "
UNITED MEDICAL CENTERS,31926009,EAGLE PASS,TX,78852,MAVERICK,United States of America,Hospital,County Government,"$6,797,290 "
ASSOCIATION OF STATE AND TERRITORIAL DENTAL DIRECTORS,135750516,SPARKS,NV,89434,WASHOE,United States of America,Health Department,State Government,$0 
Colorado Perinatal Care Quality Collaborative,80610691,Denver,CO,80224,DENVER,United States of America,Hospital,State Government,$0 
California Dept of Public Health,799150615,SACRAMENTO,CA,95899,SACRAMENTO,United States of America,Other Health Organization,State Government,"$953,416,890 "
"AUSTIN, CITY OF",945607265,AUSTIN,TX,78767,TRAVIS,United States of America,Health Department,City Government,"$6,501,799 "
TX ST DEPARTMENT OF HEALTH,807391511,AUSTIN,TX,78756,TRAVIS,United States of America,Health Department,State Government,"$464,206,166 "
TX ST DEPARTMENT OF HEALTH RESOURCES,807391511,AUSTIN,TX,78756,TRAVIS,United States of America,Health Department,State Government,"$112,730,851 "
EL PASO CITY & COUNTY HEALTH DEPARTMENT,58873019,EL PASO,TX,79901,EL PASO,United States of America,Health Department,City Government,"$848,102 "
"UNIV OF TEXAS SYS CANCER CTR, M D ANDERSON HOSP/TUM INS",800772139,HOUSTON,TX,77030,HARRIS,United States of America,Other Health Organization,State Government,"$52,707,689 "
HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT,194586517,HOUSTON,TX,77054,HARRIS,United States of America,Health Department,City Government,"$258,191,415 "
CITY OF HOUSTON,194586517,HOUSTON,TX,770541823,HARRIS,United States of America,Health Department,City Government,$0 
City of Laredo Health Department,618150460,LAREDO,TX,78040,WEBB,United States of America,Health Department,City Government,$0 
BEXAR COUNTY,69446656,SAN ANTONIO,TX,782053087,BEXAR,United States of America,Other Health Organization,County Government,"($200,000)"
SAN ANTONIO METROPOLITAN HEALTH DISTRICT,66428400,SAN ANTONIO,TX,78285,BEXAR,United States of America,Other Health Organization,City Government,"$56,363,988 "
BEXAR COUNTY HOSPITAL DISTRICT,69446656,SAN ANTONIO,TX,78284,BEXAR,United States of America,Hospital,County Government,"$7,059,882 "
HARRIS COUNTY HEALTH DEPARTMENT,72206378,HOUSTON,TX,77002,HARRIS,United States of America,Health Department,County Government,"$27,433,255 "
TARRANT COUNTY MENTAL HEALTH MENTAL RETARDATION,20333597,FORT WORTH,TX,76111,TARRANT,United States of America,Hospital,County Government,$0 
LOS BARRIOS COMMUNITY CLINIC,78390994,DALLAS,TX,75212,DALLAS,United States of America,Other Health Organization,City Government,"$7,947,508 "
PECAN VALLEY MENTAL HEALTH-MENTAL RETARDATION REGION,37890373,STEPHENVILLE,TX,76401,ERATH,United States of America,Health Department,County Government,$0 
JOHN PETER SMITH HOSPITAL (TARRANT CONTY HOSP DISTRICT),68368901,FORT WORTH,TX,76104,TARRANT,United States of America,Hospital,County Government,$0 
DALLAS COUNTY HEALTH AND HUMAN SERVICES,73128597,DALLAS,TX,752072710,DALLAS,United States of America,Other Health Organization,City Government,"$2,262,421 "
TARRANT COUNTY HEALTH DEPARTMENT,68365220,FT WORTH,TX,761073405,TARRANT,United States of America,Health Department,County Government,"$5,909,159 "
UNIVERSITY OF TEXAS HEALTH CENTER AT TYLER,800772337,TYLER,TX,757083154,SMITH,United States of America,Hospital,State Government,"$2,808,975 "
DALLAS COUNTY HOSPITAL DISTRICT,49046527,DALLAS,TX,75245,DALLAS,United States of America,Hospital,County Government,$0 
Louisiana Department of Health and Hospitals,14740455,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,State Government,"($160,000)"
PA ST Department of Drug and Alcohol Programs,176040285,HARRISBURG,PA,171044311,DAUPHIN,United States of America,Health Department,State Government,"$84,948,009 "
MT ST DEPARTMENT OF HEALTH & ENVIRONMENTAL SCIENCES,51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$1,435,362 "
"MT ST DEPT OF PHHS, HEALTH POLICIES AND SERVICES",51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$6,832,880 "
"MT ST Dept of PHHS, Addictive & Mental Disorders Div",51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$138,175,121 "
Montana Department of Public Health and Human Services,51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$1,939,552 "
Montana Department of Public Health and Human Services,809791296,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$338,717 "
WESTERN MONTANA REGIONAL COMMUNITY MENTAL HEALTH CENTER,182794867,MISSOULA,MT,59801,MISSOULA,United States of America,Other Health Organization,City Government,"$3,984,714 "
RiverStone Health,8746062,BILLINGS,MT,59101,YELLOWSTONE,United States of America,Health Department,County Government,"$7,825,148 "
Skagit County Public Hospital District No. 304,966993433,SEDRO WOOLLEY,WA,98284,SKAGIT,United States of America,Hospital,County Government,"$175,000 "
Detroit Wayne County Health Authority,809204196,DETROIT,MI,482023025,WAYNE,United States of America,Other Health Organization,County Government,"$5,215,492 "
FLATHEAD COUNTY HEALTH DEPARTMENT,8905093,KALISPELL,MT,599015607,FLATHEAD,United States of America,Health Department,County Government,"$579,103 "
"LINCOLN COUNTY, STATE OF MONTANA",12583613,LIBBY,MT,59923,LINCOLN,United States of America,Health Department,County Government,"$50,000 "
MISSOULA CITY/COUNTY HLTH DEPT/Partnership HC,137780685,MISSOULA,MT,59802,MISSOULA,United States of America,Health Department,County Government,"$8,532,784 "
"Richland, County of",13422808,SIDNEY,MT,592704035,RICHLAND,United States of America,Health Department,County Government,"$138,733 "
YELLOWSTONE CITY & COUNTY HEALTH DEPARTMENT,8746062,BILLINGS,MT,59101,YELLOWSTONE,United States of America,Health Department,County Government,$0 
ID CENTRAL DIST HLTH DEPT,169194768,BOISE,ID,83704,ADA,United States of America,Health Department,County Government,$0 
GLENNS FERRY HEALTH CLINIC,109963728,GLENNS FERRY,ID,83623,ELMORE,United States of America,Other Health Organization,City Government,"$2,250,675 "
Panhandle Health District,137473562,COEUR D ALENE,ID,838142628,KOOTENAI,United States of America,Other Health Organization,State Government,$0 
"WEST VIRGINIA HEALTH INFORMATION NETWORK, INC.",80989628,CHARLESTON,WV,253011500,,United States of America,Other Health Organization,State Government,"$123,809 "
ID ST CENTRAL DISTRICT HEALTH DEPARTMENT,825201486,BOISE,ID,83706,ADA,United States of America,Health Department,State Government,"$24,669,838 "
ID ST DEPARTMENT OF HEALTH & WELFARE,825201486,BOISE,ID,837200001,ADA,United States of America,Health Department,State Government,"$140,967,225 "
ID ST DEPT OF HEALTH & WELFARE,825201486,BOISE,ID,837200036,ADA,United States of America,Health Department,State Government,"$1,446,450,076 "
WY ST DEPARTMENT OF HEALTH,809915796,CHEYENNE,WY,82002,LARAMIE,United States of America,Health Department,State Government,"$475,033,046 "
"WY ST DIV OF HLTH & MED SVCS, MNTH HLTH/MNTH RETARD SVC",809915796,CHEYENNE,WY,82001,LARAMIE,United States of America,Health Department,State Government,"$476,137 "
BOULDER County Public Health,788587665,BOULDER,CO,80304,BOULDER,United States of America,Health Department,City Government,"$442,664 "
CO ST DEPT PUBLIC HLTH&ENVIRONMENT,878208826,DENVER,CO,802221530,DENVER,United States of America,Health Department,State Government,"$655,398,646 "
CO ST DIVISION OF MENTAL HEALTH,878208826,DENVER,CO,80236,DENVER,United States of America,Other Health Organization,State Government,"($200,000)"
COLORADO DEPARTMENT OF HEALTH,878208826,DENVER,CO,80220,DENVER,United States of America,Health Department,State Government,$0 
CO ST DEPT OF HEALTH CARE POLICY & FINANCING,82338109,DENVER,CO,80203,DENVER,United States of America,Health Department,State Government,"$3,420,037,606 "
"CO ST Dept of Human Services, Div. of Behavioral Health",878147602,DENVER,CO,80236,DENVER,United States of America,Health Department,State Government,"$1,000,000 "
"PUEBLO COMMUNITY HEALTH CENTER, INC",40581097,PUEBLO,CO,81004,PUEBLO,United States of America,Hospital,City Government,"$5,112,110 "
"MESA, COUNTY OF",849344098,GRAND JUNCTION,CO,81502,MESA,United States of America,Health Department,County Government,$0 
LAWRENCE COUNTY COALITION,117438182,SPEARFISH,SD,57783,,United States of America,Other Health Organization,County Government,"$125,000 "
DENVER CITY AND COUNTY MAYORS OFFICE,145454687,DENVER,CO,80204,DENVER,United States of America,Hospital,State Government,"$7,309,953 "
Jefferson County Public Health,114874360,LAKEWOOD,CO,80401,JEFFERSON,United States of America,Health Department,City Government,$0 
TRI -COUNTY HEALTH DEPT,116260910,ENGLEWOOD,CO,80111,ARAPAHOE,United States of America,Health Department,County Government,"$99,463 "
Pueblo Department of Public Health & Environment,182172437,PUEBLO,CO,81003,PUEBLO,United States of America,Health Department,City Government,$0 
PUEBLO OF ACOMA (INC),809848922,PUEBLO OF ACOMA,NM,870340309,VALENCIA,United States of America,Other Health Organization,County Government,"$500,000 "
"FIRST CHOICE COMMUNITY HEALTHCARE, INC",75766048,LOS LUNAS,NM,87031,VALENCIA,United States of America,Other Health Organization,City Government,"$17,315,232 "
"RIO ARRIBA, COUNTY OF",111765343,ESPANOLA,NM,875321122,RIO ARRIBA,United States of America,Other Health Organization,County Government,$0 
NM ST DEPARTMENT OF HEALTH & ENVIRONMENT,782914170,SANTA FE,NM,87505,SANTA FE,United States of America,Health Department,State Government,"$6,511,280 "
NM ST DEPARTMENT OF HEALTH & ENVIRONMENT,808389274,SANTA FE,NM,87505,SANTA FE,United States of America,Health Department,State Government,"$249,855,748 "
New Mexico Department of Health,808389274,SANTA FE,NM,875056110,SANTA FE,United States of America,Health Department,State Government,"$4,985,257 "
NM ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,837710722,SANTA FE,NM,87501,SANTA FE,United States of America,Health Department,State Government,"$109,633,712 "
"LA FRONTERA CENTER, INC, MENTAL HEALTH SERVICES",21649413,TUCSON,AZ,85713,PIMA,United States of America,Other Health Organization,County Government,$0 
"MARICOPA COUNTY DIV OF HEALTH, BUREAU OF DISEASE CONTRL",602062515,PHOENIX,AZ,85001,MARICOPA,United States of America,Health Department,County Government,$0 
"MARICOPA, COUNTY OF",602062515,PHOENIX,AZ,850123314,MARICOPA,United States of America,Health Department,County Government,"$1,144,121 "
"MARICOPA, COUNTY OF",602062515,PHOENIX,AZ,850123314,MARICOPA,United States of America,Health Department,County Government,"$1,667,000 "
PIMA COUNTY HEALTH DEPARTMENT,144733792,TUCSON,AZ,857142226,PIMA,United States of America,Health Department,County Government,"$606,334 "
YAVAPAI COUNTY COMMUNITY HEALTH SERVICES,609110507,PRESCOTT,AZ,86301,YAVAPAI,United States of America,Health Department,County Government,"$5,356,025 "
AZ ST DEPARTMENT OF HEALTH SERVICES,804745420,PHOENIX,AZ,85007,MARICOPA,United States of America,Health Department,State Government,"$815,137,363 "
ARIZONA DEPARTMENT OF CHILD SAFETY,78291672,PHOENIX,AZ,85012,MARICOPA,United States of America,Other Health Organization,State Government,"$3,771,804 "
ARIZONA DEPARTMENT OF CHILD SAFETY,136730434,PHOENIX,AZ,85012,MARICOPA,United States of America,Other Health Organization,State Government,"$368,441,321 "
AZ ST HEALTH CARE COST CONTAINMENT SYSTEM,805346798,PHOENIX,AZ,850342217,MARICOPA,United States of America,Other Health Organization,State Government,"$7,201,809,007 "
"Beaver, County of",50023852,BEAVER,UT,847130392,,United States of America,Health Department,County Government,"$125,000 "
Utah County Division of Substance Abuse,40752342,PROVO,UT,84601,UTAH,United States of America,Health Department,County Government,$0 
SALT LAKE CITY COUNTY HEALTH DEPARTMENT,73133894,SALT LAKE CITY,UT,841902150,SALT LAKE,United States of America,Health Department,City Government,$0 
UTAH STATE DEPARTMENT OF HEALTH,959347972,SALT LAKE CITY,UT,84114,SALT LAKE,United States of America,Health Department,State Government,"$1,817,440,909 "
Utah State Department of Health,959347972,SALT LAKE CITY,UT,84114,SALT LAKE,United States of America,Other Health Organization,State Government,$0 
SAN JUAN HOSPITAL,603819053,MONTICELLO,UT,84535,SAN JUAN,United States of America,Hospital,County Government,$0 
SOUTHERN NEVADA HEALTH DISTRICT,137055492,LAS VEGAS,NV,891273902,CLARK,United States of America,Health Department,County Government,"$5,706,029 "
"NV ST DEPT OF HHS, NO NV Adult Mental Hlth Srvcs",625364849,SPARKS,NV,894315564,WASHOE,United States of America,Other Health Organization,State Government,"($300,910)"
Nevada Division of Public and Behavorial Health,625364849,CARSON CITY,NV,89706,**CARSON CITY,United States of America,Health Department,State Government,"$3,266,081 "
CLARK COUNTY NV OFFICE OF THE CORONER/MED  EXAMINER,88465716,LAS VEGAS,NV,89106,CLARK,United States of America,Other Health Organization,County Government,$0 
WASHOE COUNTY DISTRICT HEALTH DEPARTMENT,73786998,RENO,NV,895200027,WASHOE,United States of America,Health Department,County Government,"$781,200 "
UNIVERSITY MEDICAL CENTER OF SOUTHERN NV,66677535,LAS VEGAS,NV,89102,CLARK,United States of America,Hospital,County Government,$0 
University Medical Center of Southern Nevada,66677535,LAS VEGAS,NV,891022329,CLARK,United States of America,Hospital,County Government,"$816,056 "
VI DEPARTMENT OF HEALTH,167269765,ST THOMAS,VI,801,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$3,678,841 "
"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$2,411,145,095 "
PR DEPARTMENT OF HEALTH,105817142,SANTURCE,PR,908,SAN  JUAN,USA Related Territories,Health Department,State Government,"$7,004,195 "
CHINA CTR FOR DISEASE CONTROL MCF CHINA INTERVENTION PR,526818716,BEIJING,Other,100050,,China,Other Health Organization,Federal Government,$0 
CHINA CTR FOR DISEASE CONTROL MCF CHINA INTERVENTION PR,545199309,BEIJING,Other,100050,,China,Other Health Organization,Federal Government,$0 
PRESIDENT'S OFFICE REGIONAL ADMINISTRATION AND LOCAL GO,561235195,Dodoma,Other,41185,,Tanzania,Health Department,State Government,"$282,444 "
Georgia Department of Public Health,968217559,ATLANTA,GA,30303,FULTON,United States of America,Health Department,State Government,"$1,244,892,399 "
"SEATTLE INDIAN HEALTH BOARD, INC",20237822,SEATTLE,WA,981443364,KING,United States of America,Other Health Organization,City Government,"$5,495,559 "
Bloodworks,92881085,SEATTLE,WA,981041256,KING,United States of America,Other Health Organization,County Government,"$2,170,901 "
Health Care Authority,7207571,OLYMPIA,WA,98504,THURSTON,United States of America,Other Health Organization,State Government,"$84,595,463 "
Washington State Department of Health,808883128,OLYMPIA,WA,98504,THURSTON,United States of America,Other Health Organization,State Government,"$142,989,587 "
WA ST DEPARTMENT OF HEALTH,808883128,OLYMPIA,WA,98504,THURSTON,United States of America,Health Department,State Government,"$685,705,665 "
