,,,,,,,,,
Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
GASTON COUNTY DEPARTMENT OF HEALTH,71062186,GASTONIA,NC,28052,GASTON,United States of America,Health Department,County Government,"$133,333 "
County of Transylvania,30494215,BREVARD,NC,28712,TRANSYLVANIA,United States of America,Health Department,County Government,"$172,145 "
WAKE COUNTY DEPARTMENT OF HEALTH,170300755,RALEIGH,NC,276204049,WAKE,United States of America,Hospital,County Government,"$827,933 "
Albermarle Regional Health Services,130537822,ELIZABETH CITY,NC,27909,PASQUOTANK,United States of America,Health Department,City Government,"$394,969 "
CUMBERLAND COUNTY HEALTH DEPARTMENT,123914376,FAYETTEVILLE,NC,28302,CUMBERLAND,United States of America,Health Department,County Government,"$70,000 "
NC ST DISTRICT HEALTH DEPARTMENT,83677138,HICKORY,NC,28609,CATAWBA,United States of America,Health Department,State Government,"$214,725 "
"LEXINGTON/RICHLAND ALCOHOL & DRUG ABUSE COUNCIL, INC",944157007,COLUMBIA,SC,29203,RICHLAND,United States of America,Other Health Organization,City Government,"$125,000 "
DHHS IHS PHOENIX AREA,79950017,PARKER,AZ,85344,LA PAZ,United States of America,Health Department,State Government,"$203,991 "
SC ST DEPT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29211,RICHLAND,United States of America,Health Department,State Government,"$99,696,866 "
South Carolina Department Health & Human Services,607243706,COLUMBIA,SC,29202,RICHLAND,United States of America,Other Health Organization,State Government,"$693,112 "
SC ST DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,808385892,COLUMBIA,SC,29201,RICHLAND,United States of America,Health Department,State Government,"$343,552 "
SC ST DEPARTMENT OF MENTAL HEALTH,43980093,COLUMBIA,SC,29202,RICHLAND,United States of America,Health Department,State Government,"$2,536,000 "
SC ST DEPARTMENT OF MENTAL HEALTH,112674036,COLUMBIA,SC,29202,RICHLAND,United States of America,Health Department,State Government,"$13,294,927 "
SPARTANBURG GENERAL HOSPITAL,52072048,SPARTANBURG,SC,29303,SPARTANBURG,United States of America,Hospital,County Government,"$495,417 "
ALLENDALE COUNTY HOSPITAL,78066834,FAIRFAX,SC,29201,JASPER,United States of America,Hospital,County Government,"$297,106 "
COLUMBUS DEPARTMENT OF PUBLIC HEALTH,136663072,COLUMBUS,GA,31902,MUSCOGEE,United States of America,Health Department,City Government,"$481,650 "
LAURENS COUNTY BOARD OF HEALTH,143060593,DUBLIN,GA,31021,LAURENS,United States of America,Health Department,County Government,"$994,580 "
Columbus Consolidated Government,37221327,COLUMBUS,GA,319021340,MUSCOGEE,United States of America,Health Department,County Government,"$325,000 "
CLAYTON COUNTY HEALTH DEPARTMENT,962435579,JONESBORO,GA,30236,CLAYTON,United States of America,Health Department,County Government,"$903,993 "
HOUSTON COUNTY HEALTH DEPARTMENT,123374162,MACON,GA,31201,BIBB,United States of America,Health Department,County Government,"$613,664 "
LOWNDES COUNTY BOARD OF HEALTH,101007164,VALDOSTA,GA,316035147,LOWNDES,United States of America,Health Department,County Government,"$550,595 "
"THE FAMILY HEALTH CENTERS OF GEORGIA, INC",10105807,ATLANTA,GA,303102750,FULTON,United States of America,Hospital,County Government,"$12,383,211 "
GA ST DEPT OF COMMUNITY HEALTH,90320420,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"$100,000 "
GA ST DEPT OF COMMUNITY HEALTH,103886896,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"$6,816,788 "
GA ST DEPT OF COMMUNITY HEALTH,142661680,ATLANTA,GA,303033159,FULTON,United States of America,Other Health Organization,State Government,"$49,947,018 "
GA ST DEPT OF MEDICAL ASSISTANCE,142661680,ATLANTA,GA,303033159,FULTON,United States of America,Health Department,State Government,"$7,267,570,708 "
"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",93125649,NEWTON GROVE,NC,28366,SAMPSON,United States of America,Hospital,County Government,"$12,924,656 "
DEKALB COUNTY BOARD OF HEALTH,42630975,DECATUR,GA,30030,DE KALB,United States of America,Health Department,County Government,"$1,613,308 "
CLARKE COUNTY BOARD OF HEALTH,102233116,ATHENS,GA,30605,CLARKE,United States of America,Other Health Organization,County Government,"$571,354 "
Advantage Behavioral Health Systems,930142125,ATHENS,GA,306010000,CLARKE,United States of America,Health Department,State Government,"$484,295 "
FLOYD COUNTY BOARD OF HEALTH,617083241,ROME,GA,30161,FLOYD,United States of America,Health Department,County Government,"$305,663 "
HALL COUNTY BOARD OF HEALTH,805622177,GAINESVILLE,GA,30501,HALL,United States of America,Health Department,County Government,"$326,621 "
WARE COUNTY BOARD OF HEALTH,39487210,WAYCROSS,GA,315013525,WARE,United States of America,Health Department,County Government,"$1,509,704 "
City of Atlanta - ATL Homeless Continuum of Care,65372500,ATLANTA,GA,30303,FULTON,United States of America,Health Department,City Government,"$800,000 "
CITY OF CEDARTOWN,70327309,CEDARTOWN,GA,301253000,POLK,United States of America,Other Health Organization,City Government,"$84,319 "
COBB COUNTY BOARD OF HEALTH,612931212,MARIETTA,GA,30060,COBB,United States of America,Health Department,County Government,"$260,484 "
Grady Memorial Hospital Corp D/B/A Grady Health System,961615700,ATLANTA,GA,30335,FULTON,United States of America,Hospital,County Government,"$521,747 "
FULTON COUNTY HEALTH DEPARTMENT,133894167,ATLANTA,GA,30303,FULTON,United States of America,Health Department,County Government,"$33,652,846 "
"CEDARTOWN, CITY OF",70327309,CEDARTOWN,GA,301253000,POLK,United States of America,Other Health Organization,City Government,"($84,319)"
CHATHAM COUNTY DEPARTMENT OF HEALTH,826501947,SAVANNAH,GA,314161257,CHATHAM,United States of America,Health Department,County Government,"$1,830,532 "
"LAKEVIEW CENTER, INC",98929524,PENSACOLA,FL,325011857,ESCAMBIA,United States of America,Hospital,County Government,"$780,773 "
"COMMUNITY HEALTH OF SOUTH FLORIDA, INC",72250160,MIAMI,FL,33170,,United States of America,Other Health Organization,County Government,"$16,024,959 "
Publlic Health Trust of Miami-Dade Co. FL,118298673,MIAMI,FL,33136,,United States of America,Other Health Organization,County Government,"$278,910 "
FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA,84188598,FORT MYERS,FL,339021357,LEE,United States of America,Other Health Organization,County Government,"$9,617,484 "
"SUNCOAST COMMUNITY HEALTH CENTERS, INC",91654814,RUSKIN,FL,33570,HILLSBOROUGH,United States of America,Hospital,County Government,"$6,627,665 "
"FL DISABILITIES DEVELOPMENTAL COUNCIL, INC.",36530194,TALLAHASSEE,FL,323012981,LEON,United States of America,Health Department,State Government,"$3,742,692 "
FL ST DEPT OF HLTH,364215061,TALLAHASSEE,FL,323991729,LEON,United States of America,Health Department,State Government,"$158,491,350 "
PINELLAS COUNTY PUBLIC HEALTH UNIT,364215061,SAINT PETERSBURG,FL,33701,PINELLAS,United States of America,Health Department,County Government,"$665,897 "
MIAMI-DADE COUNTY HEALTH DEPARTMENT,364215061,MIAMI,FL,33125,,United States of America,Health Department,County Government,"$644,631 "
OKALOOSA COUNTY HEALTH DEPT.,364215061,FT WALTON,FL,325485066,OKALOOSA,United States of America,Health Department,County Government,"$315,875 "
"Health, Florida Department of",364215061,TALLAHASSEE,FL,323991701,DUVAL,United States of America,Health Department,County Government,"$826,292 "
BROWARD COUNTY HEALTH DEPARTMENT,364215061,FORT LAUDERDALE,FL,33315,BROWARD,United States of America,Health Department,County Government,$0 
HENDRY COUNTY HEALTH DEPARTMENT,364215061,LABELLE,FL,33975,HENDRY,United States of America,Health Department,State Government,"$341,792 "
St Lucie County Health Dept,26071055,FORT PIERCE,FL,34954,ST. LUCIE,United States of America,Health Department,County Government,"($251,207)"
Baker County Health Department,364215061,MACCLENNY,FL,32063,BAKER,United States of America,Health Department,County Government,"$392,349 "
Osceola County Health Department,364215061,KISSIMMEE,FL,347444428,OSCEOLA,United States of America,Health Department,County Government,"$2,876,885 "
Hernando County Health Department,364215061,BROOKSVILLE,FL,346013320,HERNANDO,United States of America,Health Department,County Government,"$1,266,392 "
UNION COUNTY HEALTH DEPARTMENT,364215061,LAKE BUTLER,FL,320541731,UNION,United States of America,Health Department,State Government,"$1,122,330 "
WALTON COUNTY HEALTH DEPARTMENT,364215061,DEFUNIAK SPRINGS,FL,32433,WALTON,United States of America,Health Department,State Government,"$1,156,823 "
COMMUNITY HEALTH & HUMAN SCVS DEPARTMENT,69672137,TAMPA,FL,33602,HILLSBOROUGH,United States of America,Health Department,County Government,"$10,302,487 "
FL ST DEPARTMENT OF HEALTH & REHABILITATIVE SERVICES,604604350,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$393,313 "
ORANGE COUNTY HEALTH DEPARTMENT,364215061,ORLANDO,FL,32804,ORANGE,United States of America,Health Department,County Government,"$1,979,256 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,360706212,TALLAHASSEE,FL,323996570,LEON,United States of America,Health Department,State Government,"$359,455,606 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,604604350,TALLAHASSEE,FL,323996570,LEON,United States of America,Health Department,State Government,"$896,657,447 "
FL ST DEPARTMENT OF HEALTH & REHABILITATIVE SERVICES,364215061,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$5,310,313 "
POLK COUNTY PUBLIC HEALTH UNIT,364215061,BARTOW,FL,33830,POLK,United States of America,Other Health Organization,County Government,"$481,666 "
FL ST FOR HEALTH CARE ADMINISTRATION,135837198,TALLAHASSEE,FL,32308,LEON,United States of America,Other Health Organization,State Government,"$13,377,892,530 "
FL ST DEPT OF HLTH,364215061,TALLAHASSEE,FL,323991729,LEON,United States of America,Health Department,State Government,"$117,376,769 "
"FL ST DEPT OF HLTH & REHAB SVCS, AGING & ADULT SERVICES",604604350,TALLAHSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$4,867,925 "
UNIVERSITY OF FLORIDA,969663814,GAINESVILLE,FL,326113001,ALACHUA,United States of America,Hospital,State Government,"$159,054,361 "
SOUTH BROWARD HOSPITAL DISTRICT,148577166,HOLLYWOOD,FL,330215421,BROWARD,United States of America,Hospital,State Government,"$400,000 "
KY ST CABINET FOR HEALTH AND FAMILY SERVICES,927049767,FRANKFORT,KY,40621,FRANKLIN,United States of America,Health Department,State Government,"$8,029,632,560 "
"KY Dept. for Behavioral Health, Dev. & Intell. Disabi",927049767,FRANKFORT,KY,40601,FRANKLIN,United States of America,Health Department,State Government,"$735,018 "
"REGION 20 MENTAL HEALTH & MENTAL RETARDATION BOARD, INC",68135607,PRESTONSBURG,KY,41653,FLOYD,United States of America,Health Department,State Government,"$1,575,000 "
State of Connecticut Consumer Protection,949575682,HARTFORD,CT,6106,HARTFORD,United States of America,Other Health Organization,State Government,"$275,735 "
KENTUCKY RIVER DISTRICT HEALTH DEPARTMENT,94199759,HAZARD,KY,41701,PERRY,United States of America,Health Department,County Government,"($187,003)"
Oldham County Fiscal Court,71319792,LA GRANGE,KY,40031,OLDHAM,United States of America,Health Department,County Government,"$125,000 "
NASHVILLE METROPOLITAN HEALTH DEPARTMENT,78217668,NASHVILLE,TN,37203,DAVIDSON,United States of America,Health Department,City Government,"$4,584,908 "
"MORGAN COUNTY HEALTH COUNCIL, INC",188838395,WARTBURG,TN,378870408,MORGAN,United States of America,Other Health Organization,County Government,"$1,304,169 "
"PERRY COUNTY MEDICAL CENTER, INC",122481179,LINDEN,TN,370960916,PERRY,United States of America,Hospital,County Government,"$2,082,951 "
Professional Care Services of West TN,73522161,COVINGTON,TN,38019,TIPTON,United States of America,Other Health Organization,County Government,"$125,000 "
CHATTANOOGA-HAMILTON COUNTY HEALTH DEPARTMENT,29870271,CHATTANOOGA,TN,37403,HAMILTON,United States of America,Health Department,County Government,"$1,594,442 "
Williamson County General Sessions DUI Court,31968063,FRANKLIN,TN,37064,WILLIAMSON,United States of America,Other Health Organization,State Government,"$325,000 "
TN ST DEPARTMENT OF HEALTH,172636268,NASHVILLE,TN,372470310,DAVIDSON,United States of America,Health Department,State Government,"$127,503,103 "
TN ST DEPT OF MNTL HLTH and Substance Abuse Services,878890425,NASHVILLE,TN,372438121,DAVIDSON,United States of America,Health Department,State Government,"$43,921,097 "
TN ST DEPARTMENT OF MENTAL HEALTH,878890425,NASHVILLE,TN,37219,DAVIDSON,United States of America,Health Department,State Government,"$10,325,846 "
TN Commission on Aging and Disability,98973790,NASHVILLE,TN,37243,DAVIDSON,United States of America,Other Health Organization,State Government,"$27,238,701 "
CHILDREN'S HOSPITAL OF ALABAMA,72106867,BIRMINGHAM,AL,352331711,JEFFERSON,United States of America,Hospital,City Government,"$5,009,344 "
AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,929956324,MONTGOMERY,AL,361301410,MONTGOMERY,United States of America,Health Department,State Government,"$4,866,512 "
"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC.",23092505,BAYOU LA BATRE,AL,365090769,MOBILE,United States of America,Other Health Organization,City Government,"$2,949,036 "
NORTHEAST ALABAMA HEALTH SERVICES INC,12874991,SCOTTSBORO,AL,35768,JACKSON,United States of America,Health Department,County Government,"$2,411,021 "
AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,929956324,MONTGOMERY,AL,36193,MONTGOMERY,United States of America,Health Department,State Government,"$31,762,486 "
AL ST DEPARTMENT OF PUBLIC HEALTH,613842061,MONTGOMERY,AL,361303017,MONTGOMERY,United States of America,Health Department,State Government,"$29,576,099 "
AL ST DEPARTMENT OF PUBLIC HEALTH,613842061,MONTGOMERY,AL,36104,MONTGOMERY,United States of America,Health Department,State Government,"$56,429,351 "
ALABAMA MEDICAID AGENCY,1904635,MONTGOMERY,AL,361035624,MONTGOMERY,United States of America,Other Health Organization,State Government,"$4,494,612,272 "
MOBILE COUNTY HEALTH DEPARTMENT,877377440,MOBILE,AL,366522867,MOBILE,United States of America,Health Department,County Government,"$8,955,032 "
UNIVERSITY OF ALABAMA HOSPITALS,63690705,BIRMINGHAM,AL,35233,JEFFERSON,United States of America,Hospital,State Government,"$797,000 "
UNIVERSITY OF ALABAMA HOSPITALS,63690705,BIRMINGHAM,AL,35233,JEFFERSON,United States of America,Hospital,State Government,"$1,476,443 "
"MS ST OFFICE OF THE GOVERNOR, DIVISION OF MEDICAID",36720175,JACKSON,MS,392011311,HINDS,United States of America,Other Health Organization,State Government,"$3,909,298,284 "
PINE BELT MENTAL HEALTH & RETARDATION SERVICES,44748812,HATTIESBURG,MS,394048679,FORREST,United States of America,Health Department,State Government,"$652,514 "
"MS ST DEPT OF MENTAL HEALTH, DIVISION OF ADMINISTRATION",809399926,JACKSON,MS,39201,HINDS,United States of America,Health Department,State Government,"$5,361,649 "
MS ST DEPARTMENT OF MENTAL HEALTH,809399926,JACKSON,MS,39201,HINDS,United States of America,Health Department,State Government,"$19,711,620 "
DeSoto County Mississippi,81342743,HERNANDO,MS,386322170,DE SOTO,United States of America,Other Health Organization,County Government,"$983,474 "
"JACKSON, CITY OF",199732731,JACKSON,MS,392050017,HINDS,United States of America,Other Health Organization,City Government,"$848,162 "
Jones County Board of Supervisors,79272841,LAUREL,MS,39440,JONES,United States of America,Other Health Organization,State Government,"$324,959 "
MS DEPT REHAB. OFFICE OF SPEC. SERV FOR INDV. WITH DISB,809850100,JACKSON,MS,392151698,HINDS,United States of America,Health Department,State Government,"$698,555 "
MS ST DEPARTMENT OF HEALTH,809399892,JACKSON,MS,392151700,HINDS,United States of America,Health Department,State Government,"$77,667,661 "
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,928824473,JACKSON,MS,392164500,HINDS,United States of America,Hospital,State Government,"$783,017 "
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,928824473,JACKSON,MS,392164500,HINDS,United States of America,Hospital,State Government,"$29,057,733 "
TALLAHATCHIE GENERAL HOSPITAL,30418511,CHARLESTON,MS,38921,TALLAHATCHIE,United States of America,Hospital,County Government,"$168,351 "
"Salud Integral en la Montana, Inc.",136099236,NARANJITO,PR,7190515,NARANJITO,USA Related Territories,Health Department,State Government,"$8,964,192 "
Department Of Education Of Puerto Rico,105817142,SAN JUAN,PR,9190759,SAN  JUAN,USA Related Territories,Health Department,State Government,"$356,762 "
PUERTO RICO PLANNING BOARD,91087734,SAN JUAN,PR,940,SAN  JUAN,USA Related Territories,Health Department,State Government,"$1,006,931 "
MUNICIPALITY OF BAYAMON,140030706,RIO PIEDRAS,PR,927,SAN  JUAN,USA Related Territories,Health Department,City Government,"$751,774 "
Departamento De Salud Oficial,105817142,SAN JUAN,PR,9368184,SAN  JUAN,USA Related Territories,Other Health Organization,State Government,"$41,136,248 "
Mental Health & Anti-Addiction Serv Adminstration,612702134,BAYAMON,PR,9607087,BAYAMON,USA Related Territories,Health Department,State Government,"$4,435,018 "
Virgin Islands Domestic Violence And Sexual Assault Cou,160345240,KINGSHILL,VI,850,FREDERIKSTED,USA Related Territories,Other Health Organization,State Government,"$258,929 "
Northern Marianas Coalition Against Sexual and Domestic,854856606,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Other Health Organization,State Government,"$236,554 "
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",132316811,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$50,000 "
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",145950189,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$190,070 "
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",167269765,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$34,838,165 "
CA ST OFFICE OF STATEWIDE HEALTH PLANNING & DEVELOP,106882207,SACRAMENTO,CA,958146437,SACRAMENTO,United States of America,Health Department,State Government,"$1,551,195 "
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,604604350,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$98,297,450 "
AR ST HEALTH SERVICES AGENCY,809873185,LITTLE ROCK,AR,722053867,PULASKI,United States of America,Other Health Organization,State Government,"($826,917)"
LEE COUNTY COOPERATIVE CLINIC,78575107,MARIANNA,AR,72360,LEE,United States of America,Other Health Organization,County Government,"$2,845,078 "
AR ST COMP HEALTH INS POOL,780591686,LITTLE ROCK,AR,72203,PULASKI,United States of America,Other Health Organization,State Government,"($39,875)"
ARKANSAS DEPARTMENT OF HEALTH,78606721,LITTLE ROCK,AR,722053866,PULASKI,United States of America,Health Department,State Government,"$84,052 "
ARKANSAS DEPARTMENT OF HEALTH,172039018,LITTLE ROCK,AR,722053866,PULASKI,United States of America,Health Department,State Government,"$36,642 "
ARKANSAS DEPARTMENT OF HEALTH,809873185,LITTLE ROCK,AR,722053866,PULASKI,United States of America,Health Department,State Government,"$8,994,789 "
ARKANSAS DEPARTMENT OF HEALTH,809873185,LITTLE ROCK,AR,722053867,PULASKI,United States of America,Health Department,State Government,"$49,087,082 "
"AR ST DEPT OF HEALTH, DIV OF ENVIRONMENTAL HEALTH MAINT",809873185,LITTLE ROCK,AR,72205,PULASKI,United States of America,Health Department,State Government,"$160,958 "
UNIVERSITY OF ARKANSAS SYSTEM,122452563,LITTLE ROCK,AR,722057199,PULASKI,United States of America,Other Health Organization,State Government,"$93,427,881 "
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,95439774,SHREVEPORT,LA,711303932,CADDO,United States of America,Hospital,State Government,"$5,816,903 "
CATAHOULA PARISH HOSPITAL DISTRICT #2,3197147,SICILY ISLAND,LA,713680033,CATAHOULA,United States of America,Other Health Organization,County Government,"$2,453,562 "
Capital Area Human Services District,158250709,BATON ROUGE,LA,70806,EAST BATON ROUGE,United States of America,Other Health Organization,County Government,"$125,000 "
"LA ST DEPT OF HEALTH & HOSPITALS, ADMINISTRATION SVCS",14740455,NEW ORLEANS,LA,70160,ORLEANS,United States of America,Health Department,State Government,"$1,060,635 "
"LA ST DEPARTMENT OF HEALTH, DIV OF MATERNAL & CHLD HLTH",14740455,NEW ORLEANS,LA,70160,ORLEANS,United States of America,Health Department,State Government,"$7,486,433 "
"LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",14740455,NEW ORLEANS,LA,701611979,ORLEANS,United States of America,Health Department,State Government,"$90,957,719 "
NEW ORLEANS CITY HEALTH DEPARTMENT,98595978,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$1,885,642 "
NEW ORLEANS CITY HEALTH DEPARTMENT,616466640,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$799,990 "
NEW ORLEANS MAYORS OFFICE ON HEATH POLICY & AIDS FUNDS,166691076,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$9,396,876 "
ACADIANA MENTAL HEALTH CENTER,809927064,LAFAYETTE,LA,70506,LAFAYETTE,United States of America,Hospital,State Government,"$177,219 "
LA ST OFFICE OF MENTAL HEALTH,809927064,BATON ROUGE,LA,70804,EAST BATON ROUGE,United States of America,Health Department,State Government,"$6,807,550 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",14740455,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$334,627 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",626611685,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$6,077,889,393 "
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",809927064,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$83,285,950 "
OKLAHOMA CITY-COUNTY HEALTH DEPARTMENT,148092356,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Health Department,County Government,"$1,200,000 "
OK ST HEALTH INS HIGH RISK POOL,2622715,MIDWEST CITY,OK,731405429,OKLAHOMA,United States of America,Other Health Organization,State Government,"($82,930)"
TULSA CITY & COUNTY HEALTH DEPARTMENT,48419753,TULSA,OK,741347004,TULSA,United States of America,Health Department,County Government,"$618,900 "
"Mental Health And Substance Abuse Services, Oklahoma De",933662934,OKLAHOMA CITY,OK,731523277,OKLAHOMA,United States of America,Health Department,State Government,"$37,304,820 "
OK ST DEPARTMENT OF HEALTH,143673015,OKLAHOMA CITY,OK,73152,OKLAHOMA,United States of America,Health Department,State Government,"$58,657,003 "
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,878648294,OKLAHOMA CITY,OK,731900001,OKLAHOMA,United States of America,Hospital,State Government,"$8,578,318 "
OK ST HEALTH DEPARTMENT,143673015,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Other Health Organization,State Government,"$316,150 "
OK ST HEALTH DEPARTMENT,161912303,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Other Health Organization,State Government,"$3,199,989,277 "
MULTNOMAH COUNTY DIVISION OF HEALTH SERVICES,30784888,PORTLAND,OR,97216,MULTNOMAH,United States of America,Health Department,City Government,"$70,000 "
HARRIS COUNTY HOSPITAL DISTRICT,86976214,HOUSTON,TX,772666769,HARRIS,United States of America,Other Health Organization,County Government,"$5,163,785 "
AUSTIN-TRAVIS COUNTY MNTL HEALTH & MNTL RETARDATION CTR,78496213,AUSTIN,TX,78704,TRAVIS,United States of America,Other Health Organization,County Government,"$125,000 "
TROPICAL TX BEHAVIORAL HEALTH,74620667,EDINBURG,TX,785399727,HIDALGO,United States of America,Other Health Organization,County Government,"$1,000,000 "
BEXAR COUNTY BOARD OF MNTL HLTH & MNTL RETARDATION,10528560,SAN ANTONIO,TX,78204,BEXAR,United States of America,Health Department,County Government,"$283,875 "
HEART OF TEXAS REGION MNTL HLTH & MNTL RETARDATION CTR,10470870,WACO,TX,76703,MCLENNAN,United States of America,Other Health Organization,County Government,"$998,630 "
Coastal Health & Wellness,135951940,LA MARQUE,TX,775685925,GALVESTON,United States of America,Hospital,County Government,"$3,108,039 "
VIDA Y SALUD HEALTH SYSTEMS INC,74603770,CRYSTAL CITY,TX,78839,ZAVALA,United States of America,Other Health Organization,County Government,"$2,773,509 "
"UNIVERSITY OF TEXAS, HEALTH CENTER AT HOUSTON",800771594,HOUSTON,TX,772250036,HARRIS,United States of America,Hospital,State Government,"($191,818)"
UNITED MEDICAL CENTERS,31926009,EAGLE PASS,TX,78852,MAVERICK,United States of America,Hospital,County Government,"$5,298,344 "
ASSOCIATION OF STATE AND TERRITORIAL DENTAL DIRECTORS,135750516,SPARKS,NV,89434,WASHOE,United States of America,Health Department,State Government,"$400,000 "
California Dept of Public Health,799150615,SACRAMENTO,CA,95899,SACRAMENTO,United States of America,Other Health Organization,State Government,"$453,956,169 "
"AUSTIN, CITY OF",945607265,AUSTIN,TX,78767,TRAVIS,United States of America,Health Department,City Government,"$5,446,055 "
TX ST DEPARTMENT OF HEALTH,807391511,AUSTIN,TX,78756,TRAVIS,United States of America,Health Department,State Government,"$48,842,843 "
TX ST DEPARTMENT OF HEALTH RESOURCES,807391511,AUSTIN,TX,78756,TRAVIS,United States of America,Health Department,State Government,"$99,660,567 "
"UNIV OF TEXAS SYS CANCER CTR, M D ANDERSON HOSP/TUM INS",800772139,HOUSTON,TX,77030,HARRIS,United States of America,Other Health Organization,State Government,"$119,928,860 "
HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT,194586517,HOUSTON,TX,77054,HARRIS,United States of America,Health Department,City Government,"$23,800,599 "
City of Laredo Health Department,618150460,LAREDO,TX,78040,WEBB,United States of America,Health Department,City Government,"$433,412 "
BEXAR COUNTY,70487020,SAN ANTONIO,TX,782053087,BEXAR,United States of America,Other Health Organization,County Government,"$5,526,010 "
SAN ANTONIO METROPOLITAN HEALTH DISTRICT,66428400,SAN ANTONIO,TX,78285,BEXAR,United States of America,Other Health Organization,City Government,"$3,322,030 "
San Antonio City Department of Human Services,66428400,SAN ANTONIO,TX,782833966,BEXAR,United States of America,Other Health Organization,City Government,"$995,828 "
BEXAR COUNTY HOSPITAL DISTRICT,69446656,SAN ANTONIO,TX,78284,BEXAR,United States of America,Hospital,County Government,"$2,035,897 "
HARRIS COUNTY HEALTH DEPARTMENT,72206378,HOUSTON,TX,77002,HARRIS,United States of America,Health Department,County Government,"$22,829,400 "
TARRANT COUNTY MENTAL HEALTH MENTAL RETARDATION,20333597,FORT WORTH,TX,76111,TARRANT,United States of America,Hospital,County Government,"$2,608,875 "
LOS BARRIOS COMMUNITY CLINIC,78390994,DALLAS,TX,75212,DALLAS,United States of America,Other Health Organization,City Government,"$5,041,599 "
TARRANT COUNTY HOSPITAL,68368901,FORT WORTH,TX,76104,TARRANT,United States of America,Hospital,County Government,"($214,694)"
DALLAS COUNTY HEALTH AND HUMAN SERVICES,73128597,DALLAS,TX,752072710,DALLAS,United States of America,Other Health Organization,City Government,"$318,013 "
TARRANT COUNTY HEALTH DEPARTMENT,68365220,FT WORTH,TX,761073405,TARRANT,United States of America,Health Department,County Government,"$5,849,078 "
UNIVERSITY OF TEXAS HEALTH CENTER AT TYLER,800772337,TYLER,TX,757083154,SMITH,United States of America,Hospital,State Government,"$6,487,034 "
DALLAS COUNTY HOSPITAL DISTRICT,49046527,DALLAS,TX,75245,DALLAS,United States of America,Hospital,County Government,"$3,757,303 "
Palm Beach County Substance Abuse Coalition,961547242,WEST PALM BEACH,FL,33407,PALM BEACH,United States of America,Other Health Organization,County Government,"$47,145 "
PA ST Department of Drug and Alcohol Programs,176040285,HARRISBURG,PA,171044311,DAUPHIN,United States of America,Health Department,State Government,"$62,906,964 "
