Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards,Year
FL ST DEPARTMENT OF HEALTH & REHABILITATIVE SERVICES,364215061,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$4,791,777 ",2021
POLK COUNTY PUBLIC HEALTH UNIT,364215061,BARTOW,FL,33830,POLK,United States of America,Other Health Organization,County Government,"$546,633 ",2021
FL ST FOR HEALTH CARE ADMINISTRATION,135837198,TALLAHASSEE,FL,32308,LEON,United States of America,Other Health Organization,State Government,"$9,603,826,215 ",2021
FL ST FOR HEALTH CARE ADMINISTRATION,364215061,TALLAHASSEE,FL,32308,LEON,United States of America,Other Health Organization,State Government,"$7,421,303 ",2021
FL ST DEPT OF HLTH,364215061,TALLAHASSEE,FL,323991729,LEON,United States of America,Health Department,State Government,"$514,048,878 ",2021
UNIVERSITY OF FLORIDA,77758407,GAINESVILLE,FL,326113001,ALACHUA,United States of America,Hospital,State Government,"$48,712 ",2021
UNIVERSITY OF FLORIDA,969663814,GAINESVILLE,FL,326113001,ALACHUA,United States of America,Hospital,State Government,"$64,404,811 ",2021
BROWARD GENERAL MEDICAL CENTER,72252703,FORT LAUDERDALE,FL,33316,BROWARD,United States of America,Hospital,City Government,$0 ,2021
KY ST DEPARTMENT OF HEALTH,927049767,FRANKFORT,KY,40601,FRANKLIN,United States of America,Health Department,State Government,"$649,346 ",2021
KY ST CABINET FOR HEALTH AND FAMILY SERVICES,927049767,FRANKFORT,KY,40621,FRANKLIN,United States of America,Health Department,State Government,"$6,347,795,170 ",2021
KY ST DEPT OF INS,40579752,FRANKFORT,KY,40601,FRANKLIN,United States of America,Other Health Organization,State Government,"($318,575)",2021
"KY Dept. for Behavioral Health, Dev. & Intell. Disabi",927049767,FRANKFORT,KY,40601,FRANKLIN,United States of America,Health Department,State Government,$0 ,2021
"REGION 20 MENTAL HEALTH & MENTAL RETARDATION BOARD, INC",68135607,PRESTONSBURG,KY,41653,FLOYD,United States of America,Health Department,State Government,$0 ,2021
Oldham County Health Department,613454011,La Grange,KY,40031,OLDHAM,United States of America,Health Department,County Government,"$125,000 ",2021
MADISON COUNTY HEALTH DEPARTMENT,137703609,RICHMOND,KY,404761208,MADISON,United States of America,Health Department,County Government,$0 ,2021
PURCHASE DISTRICT HEALTH DEPARTMENT (INC),784080116,PADUCAH,KY,420031955,MCCRACKEN,United States of America,Health Department,State Government,$0 ,2021
"Muhlenberg, County Of",146408224,CENTRAL CITY,KY,423301414,,United States of America,Health Department,County Government,"$125,000 ",2021
Oldham County Fiscal Court,613454011,LA GRANGE,KY,40031,OLDHAM,United States of America,Health Department,County Government,$0 ,2021
NASHVILLE METROPOLITAN HEALTH DEPARTMENT,78217668,NASHVILLE,TN,37203,DAVIDSON,United States of America,Health Department,City Government,"$1,994,411 ",2021
"MORGAN COUNTY HEALTH COUNCIL, INC",188838395,WARTBURG,TN,378870408,MORGAN,United States of America,Other Health Organization,County Government,"$3,057,605 ",2021
"PERRY COUNTY MEDICAL CENTER, INC",122481179,LINDEN,TN,370960916,PERRY,United States of America,Hospital,County Government,"$4,000,588 ",2021
Professional Care Services of West TN,73522161,COVINGTON,TN,38019,TIPTON,United States of America,Other Health Organization,County Government,$0 ,2021
CHATTANOOGA-HAMILTON COUNTY HEALTH DEPARTMENT,29870271,CHATTANOOGA,TN,37403,HAMILTON,United States of America,Health Department,County Government,"$3,457,170 ",2021
MEMPHIS & SHELBY COUNTY DEPARTMENT OF HEALTH,41174889,MEMPHIS,TN,381055041,SHELBY,United States of America,Health Department,County Government,"$1,213,893 ",2021
TN ST DEPARTMENT OF HEALTH,172636268,NASHVILLE,TN,372470310,DAVIDSON,United States of America,Health Department,State Government,"$799,900,208 ",2021
TN ST DEPT OF MNTL HLTH and Substance Abuse Services,878890425,NASHVILLE,TN,372438121,DAVIDSON,United States of America,Health Department,State Government,"$45,211,914 ",2021
TN ST DEPARTMENT OF MENTAL HEALTH,878890425,NASHVILLE,TN,37219,DAVIDSON,United States of America,Health Department,State Government,"$29,536,859 ",2021
TN Commission on Aging and Disability,98973790,NASHVILLE,TN,37243,DAVIDSON,United States of America,Other Health Organization,State Government,"$35,432,123 ",2021
CHILDREN'S HOSPITAL OF ALABAMA,72106867,BIRMINGHAM,AL,352331711,JEFFERSON,United States of America,Hospital,City Government,"$3,269,285 ",2021
AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,929956324,MONTGOMERY,AL,361301410,MONTGOMERY,United States of America,Health Department,State Government,"$4,000,000 ",2021
"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC.",23092505,BAYOU LA BATRE,AL,365090769,MOBILE,United States of America,Other Health Organization,City Government,"$6,737,010 ",2021
NORTHEAST ALABAMA HEALTH SERVICES INC,12874991,SCOTTSBORO,AL,35768,JACKSON,United States of America,Health Department,County Government,"$2,609,750 ",2021
AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,929956324,MONTGOMERY,AL,36193,MONTGOMERY,United States of America,Health Department,State Government,"$51,041,526 ",2021
AL ST DEPARTMENT OF PUBLIC HEALTH,613842061,MONTGOMERY,AL,361303017,MONTGOMERY,United States of America,Health Department,State Government,"$436,073,222 ",2021
AL ST DEPARTMENT OF PUBLIC HEALTH,1904635,MONTGOMERY,AL,36104,MONTGOMERY,United States of America,Health Department,State Government,"$220,018,631 ",2021
AL ST DEPARTMENT OF PUBLIC HEALTH,613842061,MONTGOMERY,AL,36104,MONTGOMERY,United States of America,Health Department,State Government,"$127,950,795 ",2021
ALABAMA MEDICAID AGENCY,1904635,MONTGOMERY,AL,361035624,MONTGOMERY,United States of America,Other Health Organization,State Government,"$2,828,233,514 ",2021
"Senior Services, Alabama Dept of",1746440,MONTGOMERY,AL,361301851,MONTGOMERY,United States of America,Health Department,State Government,"$338,717 ",2021
MOBILE COUNTY HEALTH DEPARTMENT,877377440,MOBILE,AL,366522867,MOBILE,United States of America,Health Department,County Government,"$10,327,140 ",2021
UNIVERSITY OF ALABAMA HOSPITALS,63690705,BIRMINGHAM,AL,35233,JEFFERSON,United States of America,Hospital,State Government,"$878,417 ",2021
UNIVERSITY OF ALABAMA HOSPITALS,63690705,BIRMINGHAM,AL,35233,JEFFERSON,United States of America,Hospital,State Government,$0 ,2021
"MS ST OFFICE OF THE GOVERNOR, DIVISION OF MEDICAID",36720175,JACKSON,MS,392011311,HINDS,United States of America,Other Health Organization,State Government,"$2,589,143,045 ",2021
PINE BELT MENTAL HEALTH & RETARDATION SERVICES,44748812,HATTIESBURG,MS,394048679,FORREST,United States of America,Health Department,State Government,"$372,934 ",2021
"MS ST DEPT OF MENTAL HEALTH, DIVISION OF ADMINISTRATION",809399926,JACKSON,MS,39201,HINDS,United States of America,Health Department,State Government,"$4,617,765 ",2021
MS ST DEPARTMENT OF MENTAL HEALTH,809399926,JACKSON,MS,39201,HINDS,United States of America,Health Department,State Government,"$31,435,504 ",2021
15th Judicial District Drug Court,25609518,PURVIS,MS,39475,LAMAR,United States of America,Health Department,County Government,$0 ,2021
MS DEPT REHAB. OFFICE OF SPEC. SERV FOR INDV. WITH DISB,809850100,JACKSON,MS,392151698,HINDS,United States of America,Health Department,State Government,"$771,449 ",2021
MS ST DEPARTMENT OF HEALTH,809399892,JACKSON,MS,392151700,HINDS,United States of America,Health Department,State Government,"$358,713,248 ",2021
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,928824473,JACKSON,MS,392164500,HINDS,United States of America,Hospital,State Government,"$7,273,127 ",2021
"Salud Integral en la Montana, Inc.",136099236,NARANJITO,PR,7190515,NARANJITO,USA Related Territories,Health Department,State Government,"$9,419,375 ",2021
VIRGIN ISLANDS DEPT OF HEALTH GROUP,167269765,CHARLOTTE AMALIE,VI,8026722,,USA Related Territories,Health Department,State Government,"$929,116 ",2021
Department Of Education Of Puerto Rico,105817142,SAN JUAN,PR,9190759,SAN  JUAN,USA Related Territories,Health Department,State Government,"($180,987)",2021
PUERTO RICO PLANNING BOARD,91087734,SAN JUAN,PR,940,SAN  JUAN,USA Related Territories,Health Department,State Government,"$752,079 ",2021
MUNICIPALITY OF BAYAMON,140030706,RIO PIEDRAS,PR,927,SAN  JUAN,USA Related Territories,Health Department,City Government,"$289,721 ",2021
Departamento De Salud Oficial,105817142,SAN JUAN,PR,9368184,SAN  JUAN,USA Related Territories,Other Health Organization,State Government,"$302,289,218 ",2021
Mental Health & Anti-Addiction Serv Adminstration,612702134,BAYAMON,PR,9607087,BAYAMON,USA Related Territories,Health Department,State Government,"$9,309,228 ",2021
Virgin Islands Domestic Violence And Sexual Assault Cou,160345240,KINGSHILL,VI,850,FREDERIKSTED,USA Related Territories,Other Health Organization,State Government,$0 ,2021
Northern Marianas Coalition Against Sexual and Domestic,854856606,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Other Health Organization,State Government,$0 ,2021
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",145950189,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$150,464 ",2021
"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",167269765,SAINT THOMAS,VI,802,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$153,057,597 ",2021
CA ST OFFICE OF STATEWIDE HEALTH PLANNING & DEVELOP,106882207,SACRAMENTO,CA,958146437,SACRAMENTO,United States of America,Health Department,State Government,"$563,244 ",2021
FL ST DEPARTMENT OF CHILDREN AND FAMILIES,604604350,TALLAHASSEE,FL,32301,LEON,United States of America,Health Department,State Government,"$77,556,473 ",2021
LEE COUNTY COOPERATIVE CLINIC,78575107,MARIANNA,AR,72360,LEE,United States of America,Other Health Organization,County Government,"$3,870,470 ",2021
ARKANSAS DEPARTMENT OF HEALTH,172039018,LITTLE ROCK,AR,722053866,PULASKI,United States of America,Health Department,State Government,($1),2021
ARKANSAS DEPARTMENT OF HEALTH,809873185,LITTLE ROCK,AR,722053866,PULASKI,United States of America,Health Department,State Government,"$9,545,965 ",2021
ARKANSAS DEPARTMENT OF HEALTH,809873185,LITTLE ROCK,AR,722053867,PULASKI,United States of America,Health Department,State Government,"$335,636,934 ",2021
"AR ST DEPT OF HEALTH, DIV OF ENVIRONMENTAL HEALTH MAINT",809873185,LITTLE ROCK,AR,72205,PULASKI,United States of America,Health Department,State Government,($309),2021
UNIVERSITY OF ARKANSAS SYSTEM,122452563,LITTLE ROCK,AR,722057199,PULASKI,United States of America,Other Health Organization,State Government,"$25,102,293 ",2021
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,95439774,SHREVEPORT,LA,711303932,CADDO,United States of America,Hospital,State Government,"$6,867,138 ",2021
CATAHOULA PARISH HOSPITAL DISTRICT #2,3197147,SICILY ISLAND,LA,713680033,CATAHOULA,United States of America,Other Health Organization,County Government,"$4,897,664 ",2021
Capital Area Human Services District,158250709,BATON ROUGE,LA,70806,EAST BATON ROUGE,United States of America,Other Health Organization,County Government,$0 ,2021
"LA ST DEPT OF HEALTH & HOSPITALS, ADMINISTRATION SVCS",14740455,NEW ORLEANS,LA,70160,ORLEANS,United States of America,Health Department,State Government,"$154,135 ",2021
"LA ST DEPARTMENT OF HEALTH, DIV OF MATERNAL & CHLD HLTH",14740455,NEW ORLEANS,LA,70160,ORLEANS,United States of America,Health Department,State Government,"$7,116,283 ",2021
"LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",14740455,NEW ORLEANS,LA,701611979,ORLEANS,United States of America,Health Department,State Government,"$535,806,613 ",2021
NEW ORLEANS CITY HEALTH DEPARTMENT,98595978,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$3,929,517 ",2021
NEW ORLEANS CITY HEALTH DEPARTMENT,118981596,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"($40,000)",2021
NEW ORLEANS CITY HEALTH DEPARTMENT,616466640,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"($24,975)",2021
NEW ORLEANS MAYORS OFFICE ON HEATH POLICY & AIDS FUNDS,166691076,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,City Government,"$10,311,345 ",2021
"NEW ORLEANS, CITY OF",118981596,NEW ORLEANS,LA,70122,,United States of America,Health Department,City Government,"$40,000 ",2021
LA ST OFFICE OF MENTAL HEALTH,809927064,BATON ROUGE,LA,70804,EAST BATON ROUGE,United States of America,Health Department,State Government,"($3,775,959)",2021
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",14740455,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$3,683,749 ",2021
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",626611685,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$12,664,939,763 ",2021
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",809927064,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$30,857,599 ",2021
"LA ST DEPT OF HEALTH & HOSPITALS, OFFICE OF MGMT & FIN",968105937,BATON ROUGE,LA,708210629,EAST BATON ROUGE,United States of America,Health Department,State Government,"$26,055,318 ",2021
"HEALTH, LOUISIANA DEPARTMENT OF",968105937,BATON ROUGE,LA,70821,EAST BATON ROUGE,United States of America,Health Department,State Government,"$1,386,072 ",2021
OKLAHOMA CITY-COUNTY HEALTH DEPARTMENT,148092356,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Health Department,County Government,"($16,646)",2021
TULSA CITY & COUNTY HEALTH DEPARTMENT,48419753,TULSA,OK,741347004,TULSA,United States of America,Health Department,County Government,"$980,000 ",2021
"Mental Health And Substance Abuse Services, Oklahoma De",933662934,OKLAHOMA CITY,OK,731523277,OKLAHOMA,United States of America,Health Department,State Government,"$39,118,249 ",2021
OK ST DEPARTMENT OF HEALTH,143673015,OKLAHOMA CITY,OK,73152,OKLAHOMA,United States of America,Health Department,State Government,"$449,282,787 ",2021
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,878648294,OKLAHOMA CITY,OK,731900001,OKLAHOMA,United States of America,Hospital,State Government,"($29,726)",2021
OK ST HEALTH DEPARTMENT,161912303,OKLAHOMA CITY,OK,73105,OKLAHOMA,United States of America,Other Health Organization,State Government,"$3,826,425,936 ",2021
MULTNOMAH COUNTY DIVISION OF HEALTH SERVICES,30784888,PORTLAND,OR,97216,MULTNOMAH,United States of America,Health Department,City Government,"($69,127)",2021
HARRIS COUNTY HOSPITAL DISTRICT,86976214,HOUSTON,TX,772666769,HARRIS,United States of America,Other Health Organization,County Government,"$8,334,114 ",2021
AUSTIN-TRAVIS COUNTY MNTL HEALTH & MNTL RETARDATION CTR,78496213,AUSTIN,TX,78704,TRAVIS,United States of America,Other Health Organization,County Government,"($1,124,287)",2021
TROPICAL TX BEHAVIORAL HEALTH,74620667,EDINBURG,TX,785399727,HIDALGO,United States of America,Other Health Organization,County Government,"$3,785,402 ",2021
BEXAR COUNTY BOARD OF MNTL HLTH & MNTL RETARDATION,10528560,SAN ANTONIO,TX,78204,BEXAR,United States of America,Health Department,County Government,$0 ,2021
HEART OF TEXAS REGION MNTL HLTH & MNTL RETARDATION CTR,10470870,WACO,TX,76703,MCLENNAN,United States of America,Other Health Organization,County Government,"$3,974,241 ",2021
Coastal Health & Wellness,135951940,LA MARQUE,TX,775685925,GALVESTON,United States of America,Hospital,County Government,"$7,821,355 ",2021
VIDA Y SALUD HEALTH SYSTEMS INC,74603770,CRYSTAL CITY,TX,78839,ZAVALA,United States of America,Other Health Organization,County Government,"$4,686,305 ",2021
UNITED MEDICAL CENTERS,31926009,EAGLE PASS,TX,78852,MAVERICK,United States of America,Hospital,County Government,"$6,797,290 ",2021
ASSOCIATION OF STATE AND TERRITORIAL DENTAL DIRECTORS,135750516,SPARKS,NV,89434,WASHOE,United States of America,Health Department,State Government,$0 ,2021
Colorado Perinatal Care Quality Collaborative,80610691,Denver,CO,80224,DENVER,United States of America,Hospital,State Government,$0 ,2021
California Dept of Public Health,799150615,SACRAMENTO,CA,95899,SACRAMENTO,United States of America,Other Health Organization,State Government,"$953,416,890 ",2021
"AUSTIN, CITY OF",945607265,AUSTIN,TX,78767,TRAVIS,United States of America,Health Department,City Government,"$6,501,799 ",2021
TX ST DEPARTMENT OF HEALTH,807391511,AUSTIN,TX,78756,TRAVIS,United States of America,Health Department,State Government,"$464,206,166 ",2021
TX ST DEPARTMENT OF HEALTH RESOURCES,807391511,AUSTIN,TX,78756,TRAVIS,United States of America,Health Department,State Government,"$112,730,851 ",2021
EL PASO CITY & COUNTY HEALTH DEPARTMENT,58873019,EL PASO,TX,79901,EL PASO,United States of America,Health Department,City Government,"$848,102 ",2021
"UNIV OF TEXAS SYS CANCER CTR, M D ANDERSON HOSP/TUM INS",800772139,HOUSTON,TX,77030,HARRIS,United States of America,Other Health Organization,State Government,"$52,707,689 ",2021
HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT,194586517,HOUSTON,TX,77054,HARRIS,United States of America,Health Department,City Government,"$258,191,415 ",2021
CITY OF HOUSTON,194586517,HOUSTON,TX,770541823,HARRIS,United States of America,Health Department,City Government,$0 ,2021
City of Laredo Health Department,618150460,LAREDO,TX,78040,WEBB,United States of America,Health Department,City Government,$0 ,2021
BEXAR COUNTY,69446656,SAN ANTONIO,TX,782053087,BEXAR,United States of America,Other Health Organization,County Government,"($200,000)",2021
SAN ANTONIO METROPOLITAN HEALTH DISTRICT,66428400,SAN ANTONIO,TX,78285,BEXAR,United States of America,Other Health Organization,City Government,"$56,363,988 ",2021
BEXAR COUNTY HOSPITAL DISTRICT,69446656,SAN ANTONIO,TX,78284,BEXAR,United States of America,Hospital,County Government,"$7,059,882 ",2021
HARRIS COUNTY HEALTH DEPARTMENT,72206378,HOUSTON,TX,77002,HARRIS,United States of America,Health Department,County Government,"$27,433,255 ",2021
TARRANT COUNTY MENTAL HEALTH MENTAL RETARDATION,20333597,FORT WORTH,TX,76111,TARRANT,United States of America,Hospital,County Government,$0 ,2021
LOS BARRIOS COMMUNITY CLINIC,78390994,DALLAS,TX,75212,DALLAS,United States of America,Other Health Organization,City Government,"$7,947,508 ",2021
PECAN VALLEY MENTAL HEALTH-MENTAL RETARDATION REGION,37890373,STEPHENVILLE,TX,76401,ERATH,United States of America,Health Department,County Government,$0 ,2021
JOHN PETER SMITH HOSPITAL (TARRANT CONTY HOSP DISTRICT),68368901,FORT WORTH,TX,76104,TARRANT,United States of America,Hospital,County Government,$0 ,2021
DALLAS COUNTY HEALTH AND HUMAN SERVICES,73128597,DALLAS,TX,752072710,DALLAS,United States of America,Other Health Organization,City Government,"$2,262,421 ",2021
TARRANT COUNTY HEALTH DEPARTMENT,68365220,FT WORTH,TX,761073405,TARRANT,United States of America,Health Department,County Government,"$5,909,159 ",2021
UNIVERSITY OF TEXAS HEALTH CENTER AT TYLER,800772337,TYLER,TX,757083154,SMITH,United States of America,Hospital,State Government,"$2,808,975 ",2021
DALLAS COUNTY HOSPITAL DISTRICT,49046527,DALLAS,TX,75245,DALLAS,United States of America,Hospital,County Government,$0 ,2021
Louisiana Department of Health and Hospitals,14740455,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,State Government,"($160,000)",2021
PA ST Department of Drug and Alcohol Programs,176040285,HARRISBURG,PA,171044311,DAUPHIN,United States of America,Health Department,State Government,"$84,948,009 ",2021
MT ST DEPARTMENT OF HEALTH & ENVIRONMENTAL SCIENCES,51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$1,435,362 ",2021
"MT ST DEPT OF PHHS, HEALTH POLICIES AND SERVICES",51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$6,832,880 ",2021
"MT ST Dept of PHHS, Addictive & Mental Disorders Div",51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$138,175,121 ",2021
Montana Department of Public Health and Human Services,51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$1,939,552 ",2021
Montana Department of Public Health and Human Services,809791296,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$338,717 ",2021
WESTERN MONTANA REGIONAL COMMUNITY MENTAL HEALTH CENTER,182794867,MISSOULA,MT,59801,MISSOULA,United States of America,Other Health Organization,City Government,"$3,984,714 ",2021
RiverStone Health,8746062,BILLINGS,MT,59101,YELLOWSTONE,United States of America,Health Department,County Government,"$7,825,148 ",2021
Skagit County Public Hospital District No. 304,966993433,SEDRO WOOLLEY,WA,98284,SKAGIT,United States of America,Hospital,County Government,"$175,000 ",2021
Detroit Wayne County Health Authority,809204196,DETROIT,MI,482023025,WAYNE,United States of America,Other Health Organization,County Government,"$5,215,492 ",2021
FLATHEAD COUNTY HEALTH DEPARTMENT,8905093,KALISPELL,MT,599015607,FLATHEAD,United States of America,Health Department,County Government,"$579,103 ",2021
"LINCOLN COUNTY, STATE OF MONTANA",12583613,LIBBY,MT,59923,LINCOLN,United States of America,Health Department,County Government,"$50,000 ",2021
MISSOULA CITY/COUNTY HLTH DEPT/Partnership HC,137780685,MISSOULA,MT,59802,MISSOULA,United States of America,Health Department,County Government,"$8,532,784 ",2021
"Richland, County of",13422808,SIDNEY,MT,592704035,RICHLAND,United States of America,Health Department,County Government,"$138,733 ",2021
YELLOWSTONE CITY & COUNTY HEALTH DEPARTMENT,8746062,BILLINGS,MT,59101,YELLOWSTONE,United States of America,Health Department,County Government,$0 ,2021
ID CENTRAL DIST HLTH DEPT,169194768,BOISE,ID,83704,ADA,United States of America,Health Department,County Government,$0 ,2021
GLENNS FERRY HEALTH CLINIC,109963728,GLENNS FERRY,ID,83623,ELMORE,United States of America,Other Health Organization,City Government,"$2,250,675 ",2021
Panhandle Health District,137473562,COEUR D ALENE,ID,838142628,KOOTENAI,United States of America,Other Health Organization,State Government,$0 ,2021
"WEST VIRGINIA HEALTH INFORMATION NETWORK, INC.",80989628,CHARLESTON,WV,253011500,,United States of America,Other Health Organization,State Government,"$123,809 ",2021
ID ST CENTRAL DISTRICT HEALTH DEPARTMENT,825201486,BOISE,ID,83706,ADA,United States of America,Health Department,State Government,"$24,669,838 ",2021
ID ST DEPARTMENT OF HEALTH & WELFARE,825201486,BOISE,ID,837200001,ADA,United States of America,Health Department,State Government,"$140,967,225 ",2021
ID ST DEPT OF HEALTH & WELFARE,825201486,BOISE,ID,837200036,ADA,United States of America,Health Department,State Government,"$1,446,450,076 ",2021
WY ST DEPARTMENT OF HEALTH,809915796,CHEYENNE,WY,82002,LARAMIE,United States of America,Health Department,State Government,"$475,033,046 ",2021
"WY ST DIV OF HLTH & MED SVCS, MNTH HLTH/MNTH RETARD SVC",809915796,CHEYENNE,WY,82001,LARAMIE,United States of America,Health Department,State Government,"$476,137 ",2021
BOULDER County Public Health,788587665,BOULDER,CO,80304,BOULDER,United States of America,Health Department,City Government,"$442,664 ",2021
CO ST DEPT PUBLIC HLTH&ENVIRONMENT,878208826,DENVER,CO,802221530,DENVER,United States of America,Health Department,State Government,"$655,398,646 ",2021
CO ST DIVISION OF MENTAL HEALTH,878208826,DENVER,CO,80236,DENVER,United States of America,Other Health Organization,State Government,"($200,000)",2021
COLORADO DEPARTMENT OF HEALTH,878208826,DENVER,CO,80220,DENVER,United States of America,Health Department,State Government,$0 ,2021
CO ST DEPT OF HEALTH CARE POLICY & FINANCING,82338109,DENVER,CO,80203,DENVER,United States of America,Health Department,State Government,"$3,420,037,606 ",2021
"CO ST Dept of Human Services, Div. of Behavioral Health",878147602,DENVER,CO,80236,DENVER,United States of America,Health Department,State Government,"$1,000,000 ",2021
"PUEBLO COMMUNITY HEALTH CENTER, INC",40581097,PUEBLO,CO,81004,PUEBLO,United States of America,Hospital,City Government,"$5,112,110 ",2021
"MESA, COUNTY OF",849344098,GRAND JUNCTION,CO,81502,MESA,United States of America,Health Department,County Government,$0 ,2021
LAWRENCE COUNTY COALITION,117438182,SPEARFISH,SD,57783,,United States of America,Other Health Organization,County Government,"$125,000 ",2021
DENVER CITY AND COUNTY MAYORS OFFICE,145454687,DENVER,CO,80204,DENVER,United States of America,Hospital,State Government,"$7,309,953 ",2021
Jefferson County Public Health,114874360,LAKEWOOD,CO,80401,JEFFERSON,United States of America,Health Department,City Government,$0 ,2021
TRI -COUNTY HEALTH DEPT,116260910,ENGLEWOOD,CO,80111,ARAPAHOE,United States of America,Health Department,County Government,"$99,463 ",2021
Pueblo Department of Public Health & Environment,182172437,PUEBLO,CO,81003,PUEBLO,United States of America,Health Department,City Government,$0 ,2021
PUEBLO OF ACOMA (INC),809848922,PUEBLO OF ACOMA,NM,870340309,VALENCIA,United States of America,Other Health Organization,County Government,"$500,000 ",2021
"FIRST CHOICE COMMUNITY HEALTHCARE, INC",75766048,LOS LUNAS,NM,87031,VALENCIA,United States of America,Other Health Organization,City Government,"$17,315,232 ",2021
"RIO ARRIBA, COUNTY OF",111765343,ESPANOLA,NM,875321122,RIO ARRIBA,United States of America,Other Health Organization,County Government,$0 ,2021
NM ST DEPARTMENT OF HEALTH & ENVIRONMENT,782914170,SANTA FE,NM,87505,SANTA FE,United States of America,Health Department,State Government,"$6,511,280 ",2021
NM ST DEPARTMENT OF HEALTH & ENVIRONMENT,808389274,SANTA FE,NM,87505,SANTA FE,United States of America,Health Department,State Government,"$249,855,748 ",2021
New Mexico Department of Health,808389274,SANTA FE,NM,875056110,SANTA FE,United States of America,Health Department,State Government,"$4,985,257 ",2021
NM ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,837710722,SANTA FE,NM,87501,SANTA FE,United States of America,Health Department,State Government,"$109,633,712 ",2021
"LA FRONTERA CENTER, INC, MENTAL HEALTH SERVICES",21649413,TUCSON,AZ,85713,PIMA,United States of America,Other Health Organization,County Government,$0 ,2021
"MARICOPA COUNTY DIV OF HEALTH, BUREAU OF DISEASE CONTRL",602062515,PHOENIX,AZ,85001,MARICOPA,United States of America,Health Department,County Government,$0 ,2021
"MARICOPA, COUNTY OF",602062515,PHOENIX,AZ,850123314,MARICOPA,United States of America,Health Department,County Government,"$1,144,121 ",2021
"MARICOPA, COUNTY OF",602062515,PHOENIX,AZ,850123314,MARICOPA,United States of America,Health Department,County Government,"$1,667,000 ",2021
PIMA COUNTY HEALTH DEPARTMENT,144733792,TUCSON,AZ,857142226,PIMA,United States of America,Health Department,County Government,"$606,334 ",2021
YAVAPAI COUNTY COMMUNITY HEALTH SERVICES,609110507,PRESCOTT,AZ,86301,YAVAPAI,United States of America,Health Department,County Government,"$5,356,025 ",2021
AZ ST DEPARTMENT OF HEALTH SERVICES,804745420,PHOENIX,AZ,85007,MARICOPA,United States of America,Health Department,State Government,"$815,137,363 ",2021
ARIZONA DEPARTMENT OF CHILD SAFETY,78291672,PHOENIX,AZ,85012,MARICOPA,United States of America,Other Health Organization,State Government,"$3,771,804 ",2021
ARIZONA DEPARTMENT OF CHILD SAFETY,136730434,PHOENIX,AZ,85012,MARICOPA,United States of America,Other Health Organization,State Government,"$368,441,321 ",2021
AZ ST HEALTH CARE COST CONTAINMENT SYSTEM,805346798,PHOENIX,AZ,850342217,MARICOPA,United States of America,Other Health Organization,State Government,"$7,201,809,007 ",2021
"Beaver, County of",50023852,BEAVER,UT,847130392,,United States of America,Health Department,County Government,"$125,000 ",2021
Utah County Division of Substance Abuse,40752342,PROVO,UT,84601,UTAH,United States of America,Health Department,County Government,$0 ,2021
